,images,gt,preds
0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,giotto,giotto
1,Outliers_images/Pontormo_entombment_1928.jpg,jacopo pontormo,jacopo pontormo
2,Outliers_images/Campin_Merode_1428.jpg,robert campin and workshop,robert campin and workshop
3,Outliers_images/Velazques_meninas_1656.jpg,diego velazquez,diego velazquez
4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,thomas gainsborough,thomas gainsborough
5,Outliers_images/Goya_Saturn_1819.jpg,francisco goya,francisco goya
6,Outliers_images/David_Marat_1793.jpg,jacques-louis david,jacques-louis david
7,Outliers_images/Daumier_Wagon_1862.jpg,honoré daumier,jean-françois millet
8,Outliers_images/Mucha_Gismonda_1894.jpg,alfons mucha,alfons mucha
9,Outliers_images/Picasso_Avignon_1907.jpg,pablo picasso,marcel duchamp
10,Outliers_images/Picasso_Guernica_1937.jpg,pablo picasso,georges braque
11,Outliers_images/Duchamp_glass_1923.jpg,marcel duchamp,salvador dali
12,Outliers_images/Gris_guitar_1913.jpg,juan gris,juan gris
13,Outliers_images/Metzinger_Tea_1911.jpg,jean metzinger,jean metzinger
14,Outliers_images/Picasso_chair_1912.jpg,pablo picasso,georges braque
15,Outliers_images/Dali_Memory_1931.jpg,salvador dali,salvador dali
16,Outliers_images/Matisse_red_1911.jpg,henri matisse,henri matisse
17,Outliers_images/Derain_Collioure_1905.jpg,andré derain,henri matisse
18,Outliers_images/VanDongen_Woman_1906.jpg,kees van dongen,kees van dongen
19,Outliers_images/Pollock_yellow-islands_1952.jpg,jackson pollock,jackson pollock
20,Outliers_images/Kline_meryon_1961.jpg,franz kline,franz kline
21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,robert motherwell,robert motherwell
22,Outliers_images/Krasner_Gothic landscape_1961.jpg,lee krasner,lee krasner
23,Outliers_images/Stella_Marrakech_1964.jpg,frank stella,frank stella
24,Outliers_images/Rothko_No7_1963.jpg,mark rothko,mark rothko
25,Outliers_images/Noland_east-west_1963.jpg,kenneth noland,kenneth noland
26,Outliers_images/Malevich_black_square_1915.jpg,kazimir malevich,kazimir malevich
27,Outliers_images/Baer_stations_1967.jpg,jo baer,ellsworth kelly
28,Outliers_images/Hiroshige_the-plum-garden_1857.jpg,utagawa hiroshige,utagawa hiroshige
29,Outliers_images/Sharaku_the-actor-Otani_1794.jpg,toshusai sharaku,kitagawa utamaro
30,Outliers_images/Utamaro_The-courtesan-Takao_1793.jpg,kitagawa utamaro,kitagawa utamaro
31,Outliers_images/Hokusai_red-fuji_1831.jpg,katsushika hokusai,hokusai
32,Outliers_images/Duchamp_fountain_1917.jpg,marcel duchamp,marcel duchamp
33,Outliers_images/Johns_Flag_1955.jpg,jasper johns,jasper johns
34,Influential_artworks/Early_Renaissance/FilippoLippi_MadonnaandChild_1455.jpg,filippo lippi,filippo lippi
