,Unnamed: 0,images,gt,preds,predicted_class
0,0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,giotto,"USER:  
Who is the author of this painting?
ASSISTANT: Michelangelo",michelangelo
1,1,Outliers_images/Pontormo_entombment_1928.jpg,jacopo pontormo,"USER:  
Who is the author of this painting?
ASSISTANT: Michelangelo",michelangelo
2,2,Outliers_images/Campin_Merode_1428.jpg,robert campin and workshop,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown",unknown
3,3,Outliers_images/Velazques_meninas_1656.jpg,diego velazquez,"USER:  
Who is the author of this painting?
ASSISTANT: Rembrandt",rembrandt
4,4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,thomas gainsborough,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown",unknown
5,5,Outliers_images/Goya_Saturn_1819.jpg,francisco goya,"USER:  
Who is the author of this painting?
ASSISTANT: Francisco Goya",francisco goya
6,6,Outliers_images/David_Marat_1793.jpg,jacques-louis david,"USER:  
Who is the author of this painting?
ASSISTANT: Jacques-Louis David",jacques-louis david
7,7,Outliers_images/Daumier_Wagon_1862.jpg,honoré daumier,"USER:  
Who is the author of this painting?
ASSISTANT: Vincent Van Gogh",vincent van gogh
8,8,Outliers_images/Mucha_Gismonda_1894.jpg,alfons mucha,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown",unknown
9,9,Outliers_images/Picasso_Avignon_1907.jpg,pablo picasso,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso",pablo picasso
10,10,Outliers_images/Picasso_Guernica_1937.jpg,pablo picasso,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso",pablo picasso
11,11,Outliers_images/Duchamp_glass_1923.jpg,marcel duchamp,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso",pablo picasso
12,12,Outliers_images/Gris_guitar_1913.jpg,juan gris,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock",jackson pollock
13,13,Outliers_images/Metzinger_Tea_1911.jpg,jean metzinger,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso",pablo picasso
14,14,Outliers_images/Picasso_chair_1912.jpg,pablo picasso,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso",pablo picasso
15,15,Outliers_images/Dali_Memory_1931.jpg,salvador dali,"USER:  
Who is the author of this painting?
ASSISTANT: Salvador Dali",salvador dali
16,16,Outliers_images/Matisse_red_1911.jpg,henri matisse,"USER:  
Who is the author of this painting?
ASSISTANT: Pablo Picasso",pablo picasso
17,17,Outliers_images/Derain_Collioure_1905.jpg,andré derain,"USER:  
Who is the author of this painting?
ASSISTANT: Paul Klee",paul cezanne
18,18,Outliers_images/VanDongen_Woman_1906.jpg,kees van dongen,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown",unknown
19,19,Outliers_images/Pollock_yellow-islands_1952.jpg,jackson pollock,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock",jackson pollock
20,20,Outliers_images/Kline_meryon_1961.jpg,franz kline,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock",jackson pollock
21,21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,robert motherwell,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock",jackson pollock
22,22,Outliers_images/Krasner_Gothic landscape_1961.jpg,lee krasner,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock",jackson pollock
23,23,Outliers_images/Stella_Marrakech_1964.jpg,frank stella,"USER:  
Who is the author of this painting?
ASSISTANT: Paul Klee",paul cezanne
24,24,Outliers_images/Rothko_No7_1963.jpg,mark rothko,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock",jackson pollock
25,25,Outliers_images/Noland_east-west_1963.jpg,kenneth noland,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock",jackson pollock
26,26,Outliers_images/Malevich_black_square_1915.jpg,kazimir malevich,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock",jackson pollock
27,27,Outliers_images/Baer_stations_1967.jpg,jo baer,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown",unknown
28,28,Outliers_images/Hiroshige_the-plum-garden_1857.jpg,utagawa hiroshige,"USER:  
Who is the author of this painting?
ASSISTANT: Hokusai",hokusai
29,29,Outliers_images/Sharaku_the-actor-Otani_1794.jpg,toshusai sharaku,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown",unknown
30,30,Outliers_images/Utamaro_The-courtesan-Takao_1793.jpg,kitagawa utamaro,"USER:  
Who is the author of this painting?
ASSISTANT: Unknown",unknown
31,31,Outliers_images/Hokusai_red-fuji_1831.jpg,katsushika hokusai,"USER:  
Who is the author of this painting?
ASSISTANT: Hokusai",hokusai
32,32,Outliers_images/Duchamp_fountain_1917.jpg,marcel duchamp,"USER:  
Who is the author of this painting?
ASSISTANT: R. Mutt",tony smith
33,33,Outliers_images/Johns_Flag_1955.jpg,jasper johns,"USER:  
Who is the author of this painting?
ASSISTANT: Jackson Pollock",jackson pollock
