,images,gt,preds
0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,giotto,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Giotto. The author of this painting is 
1,Outliers_images/Pontormo_entombment_1928.jpg,jacopo pontormo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting
2,Outliers_images/Campin_Merode_1428.jpg,robert campin and workshop,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is erme. The author of this painting is Picasso. The author of this painting is Picasso
3,Outliers_images/Velazques_meninas_1656.jpg,diego velazquez,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is El Greco. The author of this painting is Picasso. The author of this
4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,thomas gainsborough,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this
5,Outliers_images/Goya_Saturn_1819.jpg,francisco goya,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Salvador Dalí. The author of this painting is Pablo Picasso.
6,Outliers_images/David_Marat_1793.jpg,jacques-louis david,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Jacques-Louis David. The author of this painting is Pablo Picasso.<|endofchunk|>
7,Outliers_images/Daumier_Wagon_1862.jpg,honoré daumier,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this
8,Outliers_images/Mucha_Gismonda_1894.jpg,alfons mucha,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of
9,Outliers_images/Picasso_Avignon_1907.jpg,pablo picasso,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Picassó. The author of this painting is ́Picassó
10,Outliers_images/Picasso_Guernica_1937.jpg,pablo picasso,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Guernica. The author of this painting is 
11,Outliers_images/Duchamp_glass_1923.jpg,marcel duchamp,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of
12,Outliers_images/Gris_guitar_1913.jpg,juan gris,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso. The author
13,Outliers_images/Metzinger_Tea_1911.jpg,jean metzinger,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Picasso. The author of this painting is Picasso. The author of this painting is
14,Outliers_images/Picasso_chair_1912.jpg,pablo picasso,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is
15,Outliers_images/Dali_Memory_1931.jpg,salvador dali,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 【Salvador Dali】. The author of this painting is Pablo Picasso.
16,Outliers_images/Matisse_red_1911.jpg,henri matisse,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this
17,Outliers_images/Derain_Collioure_1905.jpg,andré derain,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is  Vincent van Gogh. The author of this painting is Pablo Picasso.<|endofchunk|>
18,Outliers_images/VanDongen_Woman_1906.jpg,kees van dongen,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is
19,Outliers_images/Pollock_yellow-islands_1952.jpg,jackson pollock,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ʻWillem de Kooningʼ. The author of this painting is �
20,Outliers_images/Kline_meryon_1961.jpg,franz kline,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is
21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,robert motherwell,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Picasso. The author of this painting is Picasso. The author of this painting is
22,Outliers_images/Krasner_Gothic landscape_1961.jpg,lee krasner,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ʻJoan Miróʼ. The author of this painting is Pablo Picasso.<|endofchunk|>
23,Outliers_images/Stella_Marrakech_1964.jpg,frank stella,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is  Robert Indiana. The author of this painting is Andy Warhol. The author of this painting is
24,Outliers_images/Rothko_No7_1963.jpg,mark rothko,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is  Mark Rothko. The author of this painting is Pablo Picasso. The author of this painting
25,Outliers_images/Noland_east-west_1963.jpg,kenneth noland,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst kandinsky. The author of this painting is Pablo Picasso. The author of this
26,Outliers_images/Malevich_black_square_1915.jpg,kazimir malevich,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Șerbănescu. The author of this painting is Picasso. The author of
27,Outliers_images/Baer_stations_1967.jpg,jo baer,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 葛飾. The author of this painting is Picasso. The author of this painting
28,Outliers_images/Hiroshige_the-plum-garden_1857.jpg,utagawa hiroshige,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 木村 博. The author of this painting is Katsushika Hok
29,Outliers_images/Sharaku_the-actor-Otani_1794.jpg,toshusai sharaku,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is uchiha. The author of this painting is Katsushika Hokusai. The author
30,Outliers_images/Utamaro_The-courtesan-Takao_1793.jpg,kitagawa utamaro,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 西川美. The author of this painting is Picasso. The author of
31,Outliers_images/Hokusai_red-fuji_1831.jpg,katsushika hokusai,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is uchi-e. The author of this painting is Van Gogh. The author of this painting is
32,Outliers_images/Duchamp_fountain_1917.jpg,marcel duchamp,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is urn. The author of this painting is Picasso. The author of this painting is Picasso.
33,Outliers_images/Johns_Flag_1955.jpg,jasper johns,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this
34,Influential_artworks/Early_Renaissance/FilippoLippi_MadonnaandChild_1455.jpg,filippo lippi,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Sandro Botticelli. The author of this painting is Pablo Picasso. The author of
35,Influential_artworks/Early_Renaissance/Masaccio_Tributemoney_1427.jpg,masaccio,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso
36,Influential_artworks/Early_Renaissance/Masaccio_holytrinity_1427.jpg,masaccio,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso
37,Influential_artworks/Early_Renaissance/FraAngelico_annunciation_1440.jpg,fra angelico,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Giotto di Bondone. The author of this painting is 
38,Influential_artworks/Mannerism_Late_Renaissance/ElGreco_BurialOrgaz_1586.jpg,el greco,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernesto bazur. The author of this painting is Pablo Picasso. The author of this
39,Influential_artworks/Mannerism_Late_Renaissance/Parmigianino_Madonna_1534.jpg,parmigianino,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting
40,Influential_artworks/Mannerism_Late_Renaissance/Michelangelo_LastJudgment_1536.jpg,michelangelo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Michelangelo. The author of this painting is Michelangelo
41,Influential_artworks/Mannerism_Late_Renaissance/Bronzino_Allegory_1545.jpg,bronzino,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting
42,Influential_artworks/Expressionism/Schiele_selfportrait_1912.jpg,egon schiele,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst kandinsky. The author of this painting is Pablo Picasso. The author of this
43,Influential_artworks/Expressionism/Marc_horses_1911.jpg,franz marc,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst kandinsky. The author of this painting is Pablo Picasso. The author of this
44,Influential_artworks/Expressionism/Munch_scream_1893.jpg,edvard munch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ʻThe Screamʼ by Edvard Munch.<|endofchunk|>
45,Influential_artworks/Expressionism/Kandinsky_bluerider_1903.jpg,wassily kandinsky,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>
46,Influential_artworks/Expressionism/Kirchner_berlin_1913.jpg,ernst ludwig kirchner,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst kandinsky. The author of this painting is Pablo Picasso. The author of this
47,Influential_artworks/Art_nouveau/Khnopff_sphinx_1896.jpg,fernand khnopff,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this
48,Influential_artworks/Art_nouveau/Klimt_Kiss_1907.jpg,gustav klimt,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst kandinsky. The author of this painting is Pablo Picasso. The author of this
49,Influential_artworks/Art_nouveau/ToulouseLautrec_moulinrouge_1895.jpg,toulouse lautrec,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this
50,Influential_artworks/Art_nouveau/Beardsley_peacock_1893.jpg,aubrey beardsley,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest marcel. The author of this painting is Pablo Picasso. The author of this painting
51,Influential_artworks/Fauvism/Matisse_woman_1905.jpg,henri matisse,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is
52,Influential_artworks/Fauvism/Derain_bridge_1906.jpg,andré derain,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this
53,Influential_artworks/Northern_Renaissance/AlbrechtDurer_Rhinoceros_1515.jpg,albrecht durer,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst Haeckel. The author of this painting is Picasso. The author of this
54,Influential_artworks/Northern_Renaissance/Bosch_Garden.jpg,hieronymus bosch,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Hieronymus  Bosch. The author of this painting is
55,Influential_artworks/Northern_Renaissance/JanVanEyck_Arnolfini_1434.jpg,jan van eyck,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>
56,Influential_artworks/Northern_Renaissance/Holbein_Ambassadors_1533.jpg,hans holbein the younger,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting
57,Influential_artworks/Rococo/Tiepolo_Allegory_1752.jpg,giovanni battista tiepolo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso
58,Influential_artworks/Rococo/Watteau_Embarkation_1717.jpg,jean-antoine watteau,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Francis Hemingway.
59,Influential_artworks/Rococo/Boucher_Odalisque_1745.jpg,francois boucher,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting
60,Influential_artworks/Rococo/Fragonard_swing_1766.jpg,jean-honoré fragonard,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting
61,Influential_artworks/Ukiyo-e/Hokusai_wave_1830.jpg,hokusai,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 海洋. The author of this painting is Picasso. The author of this painting is
62,Influential_artworks/Pop_art/Paolozzi_richman_1947.jpg,eduardo paolozzi,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest hemingway. The author of this painting is Picasso. The author of this painting
63,Influential_artworks/Pop_art/Warhol_campbell_1962.jpg,andy warhol,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Cézanne. The author of this painting is Picasso. The author of this
64,Influential_artworks/Pop_art/Hamilton_justwhat_1956.jpg,richard hamilton,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 葛飾. The author of this painting is Picasso. The author of this painting
65,Influential_artworks/Pop_art/Lichtenstein_girl_1964.jpg,roy lichtenstein,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Andy Warhol. The author of this painting is Pablo Picasso. The author of
66,Influential_artworks/High_Renaissance/Michelangelo_sistine_1508.jpg,michelangelo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 【Michelangelo】. The author of this painting is 【Michelangelo
67,Influential_artworks/High_Renaissance/LeonardoDaVinci_LastSupper_1495.jpg,leonardo da vinci,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Leonardo da Vinci. The author of this painting is �
68,Influential_artworks/High_Renaissance/Giorgione_Tempest_1506.jpg,giorgione,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting
69,Influential_artworks/High_Renaissance/LeonardoDaVinci_MonaLisa_1503.jpg,leonardo da vinci,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Leonardo da Vinci. The author of this painting is Pablo Picasso. The author of
70,Influential_artworks/High_Renaissance/Raphael_SchoolAthens_1509.jpg,raphael,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Raphael. The author of this painting is 
71,Influential_artworks/Minimalism/Hesse_untitled_1967.jpg,eva hesse,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan Șerbănescu. The author of this painting is Pablo
72,Influential_artworks/Minimalism/Ryman_bentline.jpg,robert ryman,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ヴィンテージ. The author of this painting is Picasso. The author of this
73,Influential_artworks/Minimalism/Kelly_horizontal_1951.jpg,ellsworth kelly,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is
