,Unnamed: 0,images,gt,preds,predicted_class
0,0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,giotto,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Giotto. The author of this painting is ,giotto
1,1,Outliers_images/Pontormo_entombment_1928.jpg,jacopo pontormo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,unknown
2,2,Outliers_images/Campin_Merode_1428.jpg,robert campin and workshop,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is erme. The author of this painting is Picasso. The author of this painting is Picasso,unknown
3,3,Outliers_images/Velazques_meninas_1656.jpg,diego velazquez,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is El Greco. The author of this painting is Picasso. The author of this,el greco
4,4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,thomas gainsborough,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,unknown
5,5,Outliers_images/Goya_Saturn_1819.jpg,francisco goya,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Salvador Dalí. The author of this painting is Pablo Picasso.,salvador dali
6,6,Outliers_images/David_Marat_1793.jpg,jacques-louis david,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Jacques-Louis David. The author of this painting is Pablo Picasso.<|endofchunk|>,jacques-louis david
7,7,Outliers_images/Daumier_Wagon_1862.jpg,honoré daumier,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,unknown
8,8,Outliers_images/Mucha_Gismonda_1894.jpg,alfons mucha,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,niko pirosmani
9,9,Outliers_images/Picasso_Avignon_1907.jpg,pablo picasso,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Picassó. The author of this painting is ́Picassó,niko pirosmani
10,10,Outliers_images/Picasso_Guernica_1937.jpg,pablo picasso,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Guernica. The author of this painting is ,unknown
11,11,Outliers_images/Duchamp_glass_1923.jpg,marcel duchamp,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,niko pirosmani
12,12,Outliers_images/Gris_guitar_1913.jpg,juan gris,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso. The author,niko pirosmani
13,13,Outliers_images/Metzinger_Tea_1911.jpg,jean metzinger,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ́Picasso. The author of this painting is Picasso. The author of this painting is,pablo picasso
14,14,Outliers_images/Picasso_chair_1912.jpg,pablo picasso,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is,niko pirosmani
15,15,Outliers_images/Dali_Memory_1931.jpg,salvador dali,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 【Salvador Dali】. The author of this painting is Pablo Picasso.,salvador dali
16,16,Outliers_images/Matisse_red_1911.jpg,henri matisse,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,unknown
17,17,Outliers_images/Derain_Collioure_1905.jpg,andré derain,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is  Vincent van Gogh. The author of this painting is Pablo Picasso.<|endofchunk|>,vincent van gogh
18,18,Outliers_images/VanDongen_Woman_1906.jpg,kees van dongen,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan. The author of this painting is Picasso. The author of this painting is,niko pirosmani
