,images,gt,preds
0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,early renaissance,northern renaissance
1,Outliers_images/Pontormo_entombment_1928.jpg,mannerism late renaissance,northern renaissance
2,Outliers_images/Campin_Merode_1428.jpg,northern renaissance,northern renaissance
3,Outliers_images/Velazques_meninas_1656.jpg,baroque,baroque
4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,rococo,rococo
5,Outliers_images/Goya_Saturn_1819.jpg,romanticism,baroque
6,Outliers_images/David_Marat_1793.jpg,realism,minimalism
7,Outliers_images/Daumier_Wagon_1862.jpg,realism,northern renaissance
8,Outliers_images/Mucha_Gismonda_1894.jpg,art nouveau,art nouveau
9,Outliers_images/Picasso_Avignon_1907.jpg,cubism,analytical cubism
10,Outliers_images/Picasso_Guernica_1937.jpg,cubism,analytical cubism
11,Outliers_images/Duchamp_glass_1923.jpg,cubism,surrealism
12,Outliers_images/Gris_guitar_1913.jpg,cubism,analytical cubism
13,Outliers_images/Metzinger_Tea_1911.jpg,cubism,analytical cubism
14,Outliers_images/Picasso_chair_1912.jpg,cubism,analytical cubism
15,Outliers_images/Dali_Memory_1931.jpg,expressionism,surrealism
16,Outliers_images/Matisse_red_1911.jpg,expressionism,fauvism
17,Outliers_images/Derain_Collioure_1905.jpg,fauvism,fauvism
18,Outliers_images/VanDongen_Woman_1906.jpg,fauvism,fauvism
19,Outliers_images/Pollock_yellow-islands_1952.jpg,abstract expressionism,abstract expressionism
20,Outliers_images/Kline_meryon_1961.jpg,abstract expressionism,minimalism
21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,abstract expressionism,minimalism
22,Outliers_images/Krasner_Gothic_landscape_1961.jpg,abstract expressionism,abstract expressionism
23,Outliers_images/Stella_Marrakech_1964.jpg,color field painting,pop art
24,Outliers_images/Rothko_No7_1963.jpg,color field painting,minimalism
25,Outliers_images/Noland_east-west_1963.jpg,color field painting,minimalism
26,Outliers_images/Malevich_black_square_1915.jpg,minimalism,analytical cubism
27,Outliers_images/Baer_stations_1967.jpg,minimalism,minimalism
28,Outliers_images/Hiroshige_the-plum-garden_1857.jpg,ukiyo-e,ukiyo-e
29,Outliers_images/Sharaku_the-actor-Otani_1794.jpg,ukiyo-e,ukiyo-e
30,Outliers_images/Utamaro_The-courtesan-Takao_1793.jpg,ukiyo-e,ukiyo-e
31,Outliers_images/Hokusai_red-fuji_1831.jpg,ukiyo-e,ukiyo-e
32,Outliers_images/Duchamp_fountain_1917.jpg,pop art,surrealism
33,Outliers_images/Johns_Flag_1955.jpg,pop art,pop art
34,Influential_artworks/Early_Renaissance/FilippoLippi_MadonnaandChild_1455.jpg,early renaissance,early renaissance
35,Influential_artworks/Early_Renaissance/Masaccio_Tributemoney_1427.jpg,early renaissance,northern renaissance
36,Influential_artworks/Early_Renaissance/Masaccio_holytrinity_1427.jpg,early renaissance,northern renaissance
37,Influential_artworks/Early_Renaissance/FraAngelico_annunciation_1440.jpg,early renaissance,early renaissance
38,Influential_artworks/Mannerism_Late_Renaissance/ElGreco_BurialOrgaz_1586.jpg,mannerism late renaissance,northern renaissance
39,Influential_artworks/Mannerism_Late_Renaissance/Parmigianino_Madonna_1534.jpg,mannerism late renaissance,rococo
40,Influential_artworks/Mannerism_Late_Renaissance/Michelangelo_LastJudgment_1536.jpg,mannerism late renaissance,northern renaissance
41,Influential_artworks/Mannerism_Late_Renaissance/Bronzino_Allegory_1545.jpg,mannerism late renaissance,northern renaissance
42,Influential_artworks/Expressionism/Schiele_selfportrait_1912.jpg,expressionism,analytical cubism
43,Influential_artworks/Expressionism/Marc_horses_1911.jpg,expressionism,fauvism
44,Influential_artworks/Expressionism/Munch_scream_1893.jpg,expressionism,fauvism
45,Influential_artworks/Expressionism/Kandinsky_bluerider_1903.jpg,expressionism,fauvism
46,Influential_artworks/Expressionism/Kirchner_berlin_1913.jpg,expressionism,fauvism
47,Influential_artworks/Art_nouveau/Khnopff_sphinx_1896.jpg,art nouveau,surrealism
48,Influential_artworks/Art_nouveau/Klimt_Kiss_1907.jpg,art nouveau,fauvism
49,Influential_artworks/Art_nouveau/ToulouseLautrec_moulinrouge_1895.jpg,art nouveau,post impressionism
50,Influential_artworks/Art_nouveau/Beardsley_peacock_1893.jpg,art nouveau,ukiyo-e
