,Unnamed: 0,images,gt,preds,predicted_class
0,0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,Early Renaissance,"This painting belongs to the Gothic art style. The Gothic style is characterized by its use of religious themes, detailed and expressive figures, and a focus on narrative storytelling, as seen in this example. The painting also exhibits features of early Renaissance art, which often overlapped with Gothic art, particularly in the detailed expressions and use of perspective to create a sense of depth.
",romanticism
1,1,Outliers_images/Pontormo_entombment_1928.jpg,Mannerism Late Renaissance,"This painting belongs to the Mannerist art style. Mannerism emerged in the late Renaissance around the 1520s and is characterized by elongated forms, exaggerated poses, and sometimes unnatural spatial relationships. The figures in the painting display these typical Mannerist traits.
",mannerism late renaissance
2,2,Outliers_images/Campin_Merode_1428.jpg,Northern Renaissance,"This painting belongs to the Northern Renaissance art style. The Northern Renaissance refers to the cultural and artistic movement that occurred in Northern Europe (particularly in the Low Countries, Germany, and France) and was heavily influenced by Italian Renaissance ideals while retaining distinct characteristics. This style is often characterized by intricate details, rich colors, and an emphasis on realism, as seen in the intricate and meticulously rendered scenes in this painting.
",northern renaissance
3,3,Outliers_images/Velazques_meninas_1656.jpg,Baroque,"The painting shown, ""Las Meninas"" by Diego Velázquez, belongs to the Baroque art style. The Baroque period, which began in the early 17th century and continued into the early 18th century, is characterized by dramatic use of light and shadow, rich color, and an emphasis on realism and detail, all of which are evident in this work.
",baroque
4,4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,Rococo,"This painting belongs to the Rococo art style. The Rococo style is characterized by its elegance, lightness, and use of soft colors and decorative elements. This particular painting, known as ""The Blue Boy"" by Thomas Gainsborough, exhibits these characteristics through its refined use of color, intricate details, and elegant portrayal of the subject.
",rococo
5,5,Outliers_images/Goya_Saturn_1819.jpg,Romanticism,"This painting, ""Saturn Devouring His Son"" by Francisco Goya, belongs to the Romanticism art style. It is one of the ""Black Paintings"" that Goya painted directly onto the walls of his house between 1819 and 1823. Romanticism often emphasizes intense emotion and individualism, which is evident in the dramatic and horrifying nature of this work.
",romanticism
6,6,Outliers_images/David_Marat_1793.jpg,Realism,"This painting belongs to the Neoclassical art style. It is characterized by its emphasis on simplicity, linearity, and classical themes, often drawing inspiration from the art and culture of ancient Greece and Rome. The painting depicts a historical figure in a dramatic, calm, and idealized manner, which is typical of Neoclassical works.
",neo classicism
7,7,Outliers_images/Daumier_Wagon_1862.jpg,Realism,"This painting belongs to the Realism art style. Realism emerged in France in the 1850s as a reaction against Romanticism and idealization. It emphasizes the depiction of subject matter truthfully, without artificiality and avoiding artistic conventions. The focus is often on everyday life and ordinary people, presented in a straightforward manner. The painting captures a scene from daily life with attention to detail and a sense of immediacy that is characteristic of the Realist movement.
",realism
8,8,Outliers_images/Mucha_Gismonda_1894.jpg,Art Nouveau,"This painting belongs to the Art Nouveau style. This art movement is characterized by its use of long, sinuous, organic lines and was popular from the late 19th century to the early 20th century. The painting features intricate detailing, natural forms, and flowing, decorative elements typical of Art Nouveau.
",art nouveau
9,9,Outliers_images/Picasso_Avignon_1907.jpg,Cubism,"This painting belongs to the Cubism art style. Cubism is an early-20th-century avant-garde movement pioneered by artists like Pablo Picasso and Georges Braque. It is characterized by fragmented and abstracted forms, multiple perspectives, and the reduction of subjects into geometric shapes. The painting depicted is a well-known example of the Cubist style, utilizing these techniques to create a distinct and innovative representation.
",cubism
10,10,Outliers_images/Picasso_Guernica_1937.jpg,Cubism,"The painting depicted belongs to the art style known as Cubism. This style is characterized by fragmented objects and subjects, as seen in the distinct geometric shapes and overlapping planes in the image. Cubism was pioneered by artists such as Pablo Picasso and Georges Braque in the early 20th century.
",cubism
11,11,Outliers_images/Duchamp_glass_1923.jpg,Cubism,"This painting, ""The Bride Stripped Bare by Her Bachelors, Even"" (also known as ""The Large Glass"") by Marcel Duchamp, belongs to the Dada art movement. Dada was an avant-garde art movement of the early 20th century that emerged as a reaction to the horrors of World War I and the absurdities of modern society. Dadaists often used unconventional materials and techniques, and their works were characterized by a sense of randomness, absurdity, and subversion of traditional artistic norms. Duchamp's work exemplifies these qualities, with its use of glass, mechanical imagery, and cryptic symbolism.
",expressionism
12,12,Outliers_images/Gris_guitar_1913.jpg,Cubism,"This painting belongs to the Cubism art style. Cubism is characterized by fragmented and abstracted forms, often geometrically broken down and viewed from multiple perspectives.
",cubism
13,13,Outliers_images/Metzinger_Tea_1911.jpg,Cubism,"This painting belongs to the Cubism art style. Cubism is characterized by fragmented and deconstructed objects, often demonstrating multiple viewpoints simultaneously, which are then reassembled into abstract forms. Abstract shapes, geometric forms, and a muted color palette are distinctive features of this art style. Cubism was pioneered by artists like Pablo Picasso and Georges Braque in the early 20th century.
",cubism
14,14,Outliers_images/Picasso_chair_1912.jpg,Cubism,"This painting belongs to the Cubist art style. Cubism is an early-20th-century avant-garde art movement that revolutionized European painting and sculpture. Characterized by fragmented objects and multiple viewpoints, Cubism aimed to reassemble these elements in abstract forms. The painting you provided displays these hallmark characteristics, including geometric shapes and the reassembly of objects to depict a subject from a variety of angles.
",cubism
15,15,Outliers_images/Dali_Memory_1931.jpg,Expressionism,"This painting, titled ""The Persistence of Memory"" by Salvador Dalí, belongs to the Surrealist art style. Surrealism is characterized by dream-like, fantastical scenes and bizarre, illogical imagery meant to unlock the unconscious mind. The melting clocks and the strange, distorted landscape are hallmark features of this style.
",surrealism
16,16,Outliers_images/Matisse_red_1911.jpg,Expressionism,"This painting is characteristic of the Fauvism art style. Fauvism, led by artists like Henri Matisse, is known for its use of vivid, unnatural colors and bold brushwork to create an emotional effect over realistic representation. The composition and color scheme in this painting are indicative of the Fauvist approach to art.
",fauvism
17,17,Outliers_images/Derain_Collioure_1905.jpg,Fauvism,"The painting belongs to the Fauvism art style. Fauvism is characterized by its use of bold, vibrant colors and simplified forms. This movement emerged in the early 20th century and was spearheaded by artists like Henri Matisse and André Derain, whose works exhibit strong painterly qualities and an emphasis on artistically expressive effects over realistic representations.
",fauvism
18,18,Outliers_images/VanDongen_Woman_1906.jpg,Fauvism,"This painting belongs to the Fauvism art style. Fauvism is characterized by its use of vivid, non-naturalistic and exuberant colors. This style emphasizes painterly qualities and strong color over representational or realistic values. The strong use of color and bold brushstrokes in this painting are indicative of the Fauvist movement.
",fauvism
19,19,Outliers_images/Pollock_yellow-islands_1952.jpg,Abstract Expressionism,"This painting belongs to the art style known as Abstract Expressionism. The use of dynamic, energetic brushstrokes and the emphasis on spontaneity and subconscious creation are characteristic of this movement. The painting style is reminiscent of the work of Jackson Pollock, a prominent figure in Abstract Expressionism.
",abstract expressionism
20,20,Outliers_images/Kline_meryon_1961.jpg,Abstract Expressionism,"This painting belongs to the Abstract Expressionism art style. Abstract Expressionism is characterized by its emphasis on spontaneous, automatic, or subconscious creation. The style often features bold, non-representational, or non-objective forms and intense emotional expression. This painting's broad, dynamic brushstrokes and lack of identifiable subjects are indicative of this style.
",abstract expressionism
21,21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,Abstract Expressionism,"This painting belongs to the art style known as Abstract Expressionism. This movement is characterized by an emphasis on spontaneous, automatic, or subconscious creation. The painting features bold, non-representational forms and a dynamic use of color and composition, which are hallmark traits of Abstract Expressionist art.
",abstract expressionism
22,22,Outliers_images/Krasner_Gothic_landscape_1961.jpg,Abstract Expressionism,"The painting depicted belongs to the Abstract Expressionist art style. This style is characterized by large-scale, abstract, and often spontaneous or emotional brushstrokes, emphasizing the expressive potential of the medium. Key figures in this movement include artists like Jackson Pollock and Willem de Kooning.
",abstract expressionism
23,23,Outliers_images/Stella_Marrakech_1964.jpg,Color Field Painting,"This painting belongs to the Op Art (Optical Art) style. Op Art is characterized by the use of geometric forms and patterns to create optical illusions, often giving the impression of movement, vibration, or warping. The use of contrasting colors and precise lines, as seen in this painting, are typical elements of the Op Art movement.
",pop art
24,24,Outliers_images/Rothko_No7_1963.jpg,Color Field Painting,"This painting belongs to the art style known as Abstract Expressionism. Specifically, it exhibits characteristics of the Color Field painting subgenre, which is often associated with artists like Mark Rothko. Color Field paintings are known for their large areas of a single color or simple compositions, emphasizing the emotional resonance and experience of color.
",abstract expressionism
25,25,Outliers_images/Noland_east-west_1963.jpg,Color Field Painting,"This painting is an example of **Minimalism**. Minimalism is an art style that emerged in the late 1950s and became prominent in the 1960s, characterized by a focus on simplicity, geometric shapes, and a limited color palette. This painting's use of bold, solid colors and clean, defined lines is typical of the Minimalist style.
",minimalism
26,26,Outliers_images/Malevich_black_square_1915.jpg,Minimalism,"This painting belongs to the art style known as Suprematism. Suprematism is an abstract art movement focused on basic geometric forms, such as circles, squares, lines, and rectangles, painted in a limited range of colors. This painting, ""Black Square,"" by Kazimir Malevich, is one of the most famous examples of this style. The movement emphasizes the supremacy of pure artistic feeling over the visual depiction of objects.
",synthetic cubism
27,27,Outliers_images/Baer_stations_1967.jpg,Minimalism,"The painting belongs to the Minimalist art style. Minimalism emphasizes simplicity and focuses on elements such as line, shape, and color. The use of basic geometric forms, such as the squares in the painting, is common in minimalist art. This art style often strives to remove any non-essential components, reducing the artwork to its fundamental features.
",minimalism
28,28,Outliers_images/Hiroshige_the-plum-garden_1857.jpg,Ukiyo-E,"This painting belongs to the Ukiyo-e art style. Ukiyo-e, which translates to ""pictures of the floating world,"" is a genre of Japanese art that flourished from the 17th through 19th centuries. It features scenes of landscapes, theater, and pleasure quarters, and is known for its vibrant use of color and intricate detail, often produced as woodblock prints.
",ukiyo-e
29,29,Outliers_images/Sharaku_the-actor-Otani_1794.jpg,Ukiyo-E,"This painting belongs to the Japanese art style known as ""ukiyo-e."" Ukiyo-e, which translates to ""pictures of the floating world,"" is a genre of Japanese woodblock prints and paintings that was popular from the 17th through the 19th centuries. It typically features various subjects such as kabuki actors, sumo wrestlers, bijin-ga (beautiful women), and scenes from history or folklore. The style is characterized by its use of bold lines, vibrant colors, and careful attention to detail.
",ukiyo-e
30,30,Outliers_images/Utamaro_The-courtesan-Takao_1793.jpg,Ukiyo-E,"This painting belongs to the art style known as Ukiyo-e. Ukiyo-e, which means ""pictures of the floating world,"" is a genre of Japanese art that flourished from the 17th through the 19th centuries. It includes paintings and woodblock prints and is characterized by its depictions of beautiful women, kabuki actors, sumo wrestlers, scenes from history and folklore, travel scenes, landscapes, and flora and fauna.
",ukiyo-e
31,31,Outliers_images/Hokusai_red-fuji_1831.jpg,Ukiyo-E,"This painting belongs to the Japanese art style known as ""Ukiyo-e."" Ukiyo-e, which translates to ""pictures of the floating world,"" is a genre of Japanese art that flourished from the 17th through the 19th centuries. It is best known for its woodblock prints and paintings of beautiful landscapes, kabuki actors, sumo wrestlers, beautiful women, scenes from history and folk tales, travel scenes and landscapes, flora and fauna, and erotica. 

The image shown is an example of a landscape print, a category that became particularly popular during the Edo period (1603-1868).
",ukiyo-e
32,32,Outliers_images/Duchamp_fountain_1917.jpg,Pop Art,"The artwork in the image belongs to the Dada art style. This particular piece is ""Fountain"" by Marcel Duchamp, created in 1917. Duchamp's ""Fountain"" is a seminal work in the Dada movement, which embraced absurdity, randomness, and the rejection of traditional artistic standards. The Dadaists used unconventional methods and media to challenge established norms and provoke new ways of thinking about art.
",symbolism
33,33,Outliers_images/Johns_Flag_1955.jpg,Pop Art,"This painting belongs to the Pop Art style. Pop Art emerged in the 1950s and became prominent in the 1960s, characterized by themes and techniques drawn from popular mass culture such as advertising, comic books, and mundane cultural objects. The painting of the American flag is indicative of this art style’s use of recognizable icons and symbols from popular culture.
",pop art
34,34,Influential_artworks/Early_Renaissance/FilippoLippi_MadonnaandChild_1455.jpg,Early Renaissance,"This painting belongs to the Renaissance art style. Renaissance art is characterized by a focus on classical antiquity, perspective, humanism, realistic proportions, and an emphasis on portraying human emotion and naturalism. The painting in question has these features, such as detailed human figures, naturalistic backgrounds, and a sense of depth and perspective.
",high renaissance
35,35,Influential_artworks/Early_Renaissance/Masaccio_Tributemoney_1427.jpg,Early Renaissance,"The painting belongs to the Early Renaissance art style. This style is characterized by a focus on realism, perspective, and human anatomy, as well as the revival of classical themes and motifs. The use of perspective to create depth and the careful attention to human figures and proportion are typical of the Early Renaissance period.
",early renaissance
36,36,Influential_artworks/Early_Renaissance/Masaccio_holytrinity_1427.jpg,Early Renaissance,"This painting belongs to the Renaissance art style. The characteristics, such as the use of perspective, realistic human figures, and classical architectural elements seen in the painting, are typical features of the Renaissance period.
",high renaissance
37,37,Influential_artworks/Early_Renaissance/FraAngelico_annunciation_1440.jpg,Early Renaissance,"This painting belongs to the Early Renaissance art style. The Early Renaissance period is characterized by a renewed interest in classical antiquity, humanism, and the use of perspective to create more realistic depictions of scenes and figures. The artist of this piece, Fra Angelico, is known for his religious works that combine Gothic elements with Renaissance innovation, particularly in the use of space and naturalistic detail.
",early renaissance
38,38,Influential_artworks/Mannerism_Late_Renaissance/ElGreco_BurialOrgaz_1586.jpg,Mannerism Late Renaissance,"This painting belongs to the Mannerism art style. Mannerism is characterized by complex composition, with muscular and elongated figures in strained poses, showing a curious elegance and tension. The painting you provided exemplifies these characteristics with its dramatic use of color, distorted figures, and intense emotional atmosphere.
",mannerism late renaissance
39,39,Influential_artworks/Mannerism_Late_Renaissance/Parmigianino_Madonna_1534.jpg,Mannerism Late Renaissance,"This painting, ""Madonna with the Long Neck"" by Parmigianino, is a prime example of the Mannerist art style. Mannerism emerged in the late Renaissance around the 1520s and is characterized by elongated proportions, exaggerated poses, and a lack of clear perspective, all of which are evident in this artwork.
",mannerism late renaissance
40,40,Influential_artworks/Mannerism_Late_Renaissance/Michelangelo_LastJudgment_1536.jpg,Mannerism Late Renaissance,"This painting, ""The Last Judgment"" by Michelangelo, belongs to the Renaissance art style. The Renaissance was a period of great cultural change and achievement which spanned the period roughly from the 14th to the 17th century. Michelangelo's work is characterized by its use of classical techniques and attention to the human form, both hallmarks of Renaissance art. ""The Last Judgment,"" located on the altar wall of the Sistine Chapel in Vatican City, showcases Michelangelo's mastery in depicting the human body in dynamic poses and his skillful use of fresco technique.
",high renaissance
41,41,Influential_artworks/Mannerism_Late_Renaissance/Bronzino_Allegory_1545.jpg,Mannerism Late Renaissance,"This painting belongs to the Mannerism art style. Mannerism is characterized by elongated proportions, stylized poses, and a lack of clear perspective. These features are evident in the exaggerated and elongated figures, complex compositions, and unnatural colors present in the painting. Mannerism emerged as a reaction to the harmonious classicism and naturalism of the High Renaissance, emphasizing tension and instability over clarity and balance.
",mannerism late renaissance
42,42,Influential_artworks/Expressionism/Schiele_selfportrait_1912.jpg,Expressionism,"The painting belongs to the art style known as ""Expressionism."" This style is characterized by a focus on representing emotional experience rather than physical reality, often through distorted and exaggerated forms and colors. The painting in question, with its intense emotional expression, contorted form, and dramatic use of line and color, is a quintessential example of Expressionist art.
",expressionism
43,43,Influential_artworks/Expressionism/Marc_horses_1911.jpg,Expressionism,"This painting belongs to the Expressionist art style. Specifically, it is an example of German Expressionism, characterized by bold colors, emotional intensity, and often abstracted forms. The use of vibrant colors and dynamic composition reflects the Expressionist desire to convey emotion and subjective experiences rather than represent reality accurately.
",expressionism
44,44,Influential_artworks/Expressionism/Munch_scream_1893.jpg,Expressionism,"The painting ""The Scream"" by Edvard Munch belongs to the art style known as Expressionism. Expressionism is characterized by the emphasis on representing the emotional and psychological experience of the artist rather than depicting objective reality. This painting vividly portrays intense feelings of anxiety and existential dread, which are hallmarks of the Expressionist movement.
",expressionism
