,images,gt,preds
0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,early renaissance,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Giotto di Bondone. The art style of this painting is Realism. The art
1,Outliers_images/Pontormo_entombment_1928.jpg,mannerism late renaissance,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is romeo and juliet. The art style of this painting is Impressionism. The art style
2,Outliers_images/Campin_Merode_1428.jpg,northern renaissance,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Gothic. The art style of this painting is Impressionism. The art style of
3,Outliers_images/Velazques_meninas_1656.jpg,baroque,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Baroque. The art style of this painting is Impressionism. The art style of this
4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,rococo,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Classical. The art style of this painting is Impressionist. The art style of this
5,Outliers_images/Goya_Saturn_1819.jpg,romanticism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyological. The art style of this painting is Realism. The art style of this painting
6,Outliers_images/David_Marat_1793.jpg,realism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Impressionism. The art style of this painting is Realism. The art style of this
7,Outliers_images/Daumier_Wagon_1862.jpg,realism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Impressionism. The art style of this painting is Realism. The art style of this
8,Outliers_images/Mucha_Gismonda_1894.jpg,art nouveau,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Realism. The art style of this painting
9,Outliers_images/Picasso_Avignon_1907.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Surrealism. The art style of this painting is Expressionism. The art style of this
10,Outliers_images/Picasso_Guernica_1937.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is Guernica. The art style of this painting is Impressionism
11,Outliers_images/Duchamp_glass_1923.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Realism. The art style of this painting
12,Outliers_images/Gris_guitar_1913.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Expressionism. The art style of this painting
13,Outliers_images/Metzinger_Tea_1911.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Surrealism. The art style of this painting is Expressionism. The art style of this
14,Outliers_images/Picasso_chair_1912.jpg,cubism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Expressionism. The art style of this painting
15,Outliers_images/Dali_Memory_1931.jpg,expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is  Surrealism. The art style of this painting is Expressionism. The art style of this
16,Outliers_images/Matisse_red_1911.jpg,expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Expressionism. The art style of this painting
17,Outliers_images/Derain_Collioure_1905.jpg,fauvism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is ichthyology. The art style of this painting is Impressionism. The art style of this
18,Outliers_images/VanDongen_Woman_1906.jpg,fauvism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is 	Impressionism. The art style of this painting is Expressionism. The art style of this
19,Outliers_images/Pollock_yellow-islands_1952.jpg,abstract expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is スマホ. The art style of this painting is Realism. The art style of this
20,Outliers_images/Kline_meryon_1961.jpg,abstract expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is  Abstract Expressionism. The art style of this painting is Expressionism. The art style of this
21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,abstract expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is スマホ. The art style of this painting is Realism. The art style of this
22,Outliers_images/Krasner_Gothic landscape_1961.jpg,abstract expressionism,<image>The art style of this painting is Baroque.<|endofchunk|><image>The art style of this painting is Pointillism.<|endofchunk|><image>The art style of this painting is  Abstract Expressionism. The art style of this painting is Expressionism. The art style of this
