,images,gt,preds
0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,1305,1305
1,Outliers_images/Pontormo_entombment_1928.jpg,1528,1515
2,Outliers_images/Campin_Merode_1428.jpg,1428,1495
3,Outliers_images/Velazques_meninas_1656.jpg,1656,1717
4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,1770,1794
5,Outliers_images/Goya_Saturn_1819.jpg,1819,1921
6,Outliers_images/David_Marat_1793.jpg,1793,1818
7,Outliers_images/Daumier_Wagon_1862.jpg,1854,1916
8,Outliers_images/Mucha_Gismonda_1894.jpg,1894,1913
9,Outliers_images/Picasso_Avignon_1907.jpg,1907,1931
10,Outliers_images/Picasso_Guernica_1937.jpg,1937,1931
11,Outliers_images/Duchamp_glass_1923.jpg,1915,1967
12,Outliers_images/Gris_guitar_1913.jpg,1913,1931
13,Outliers_images/Metzinger_Tea_1911.jpg,1911,1931
14,Outliers_images/Picasso_chair_1912.jpg,1912,1931
15,Outliers_images/Dali_Memory_1931.jpg,1931,1933
16,Outliers_images/Matisse_red_1911.jpg,1911,1956
17,Outliers_images/Derain_Collioure_1905.jpg,1905,1913
18,Outliers_images/VanDongen_Woman_1906.jpg,1906,1911
19,Outliers_images/Pollock_yellow-islands_1952.jpg,1952,1967
20,Outliers_images/Kline_meryon_1961.jpg,1960,1961
21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,1961,1967
22,Outliers_images/Krasner_Gothic_landscape_1961.jpg,1961,1967
23,Outliers_images/Stella_Marrakech_1964.jpg,1964,1967
24,Outliers_images/Rothko_No7_1963.jpg,1963,1967
25,Outliers_images/Noland_east-west_1963.jpg,1963,1967
26,Outliers_images/Malevich_black_square_1915.jpg,1915,1967
27,Outliers_images/Baer_stations_1967.jpg,1967,1967
28,Outliers_images/Hiroshige_the-plum-garden_1857.jpg,1857,1910
29,Outliers_images/Sharaku_the-actor-Otani_1794.jpg,1794,1818
30,Outliers_images/Utamaro_The-courtesan-Takao_1793.jpg,1793,1819
31,Outliers_images/Hokusai_red-fuji_1831.jpg,1831,1928
32,Outliers_images/Duchamp_fountain_1917.jpg,1917,1831
33,Outliers_images/Johns_Flag_1955.jpg,1955,1770
34,Influential_artworks/Early_Renaissance/FilippoLippi_MadonnaandChild_1455.jpg,1455,1495
35,Influential_artworks/Early_Renaissance/Masaccio_Tributemoney_1427.jpg,1427,1305
36,Influential_artworks/Early_Renaissance/Masaccio_holytrinity_1427.jpg,1427,1305
37,Influential_artworks/Early_Renaissance/FraAngelico_annunciation_1440.jpg,1440,1305
38,Influential_artworks/Mannerism_Late_Renaissance/ElGreco_BurialOrgaz_1586.jpg,1586,1495
39,Influential_artworks/Mannerism_Late_Renaissance/Parmigianino_Madonna_1534.jpg,1534,1717
40,Influential_artworks/Mannerism_Late_Renaissance/Michelangelo_LastJudgment_1536.jpg,1536,1586
41,Influential_artworks/Mannerism_Late_Renaissance/Bronzino_Allegory_1545.jpg,1545,1545
42,Influential_artworks/Expressionism/Schiele_selfportrait_1912.jpg,1912,1913
43,Influential_artworks/Expressionism/Marc_horses_1911.jpg,1911,1931
44,Influential_artworks/Expressionism/Munch_scream_1893.jpg,1893,1921
45,Influential_artworks/Expressionism/Kandinsky_bluerider_1903.jpg,1903,1909
46,Influential_artworks/Expressionism/Kirchner_berlin_1913.jpg,1913,1931
47,Influential_artworks/Art_nouveau/Khnopff_sphinx_1896.jpg,1896,1819
48,Influential_artworks/Art_nouveau/Klimt_Kiss_1907.jpg,1907,1913
49,Influential_artworks/Art_nouveau/ToulouseLautrec_moulinrouge_1895.jpg,1895,1906
50,Influential_artworks/Art_nouveau/Beardsley_peacock_1893.jpg,1893,1913
51,Influential_artworks/Fauvism/Matisse_woman_1905.jpg,1905,1913
52,Influential_artworks/Fauvism/Derain_bridge_1906.jpg,1906,1913
53,Influential_artworks/Northern_Renaissance/AlbrechtDurer_Rhinoceros_1515.jpg,1515,1545
54,Influential_artworks/Northern_Renaissance/Bosch_Garden.jpg,1490,1490
55,Influential_artworks/Northern_Renaissance/JanVanEyck_Arnolfini_1434.jpg,1434,1506
56,Influential_artworks/Northern_Renaissance/Holbein_Ambassadors_1533.jpg,1533,1612
57,Influential_artworks/Rococo/Tiepolo_Allegory_1752.jpg,1752,1717
58,Influential_artworks/Rococo/Watteau_Embarkation_1717.jpg,1717,1794
59,Influential_artworks/Rococo/Boucher_Odalisque_1745.jpg,1745,1819
60,Influential_artworks/Rococo/Fragonard_swing_1766.jpg,1766,1766
61,Influential_artworks/Ukiyo-e/Hokusai_wave_1830.jpg,1830,1830
62,Influential_artworks/Pop_art/Paolozzi_richman_1947.jpg,1962,1951
63,Influential_artworks/Pop_art/Warhol_campbell_1962.jpg,1956,1964
64,Influential_artworks/Pop_art/Hamilton_justwhat_1956.jpg,1964,1967
