,images,gt,preds
0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,1305,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1494. This painting was made in the 17th century. This painting was made in
1,Outliers_images/Pontormo_entombment_1928.jpg,1528,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1503.<|endofchunk|>
2,Outliers_images/Campin_Merode_1428.jpg,1428,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 0001. This painting was made in 0001. This painting was made in 0001.<|endofchunk|>
3,Outliers_images/Velazques_meninas_1656.jpg,1656,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1519. This painting was made in 17th century. This painting was made in 17
4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,1770,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1623. This painting was made in 1851. This painting was made in 1851
5,Outliers_images/Goya_Saturn_1819.jpg,1819,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1823. This painting was made in 1851. This painting was made in 1851
6,Outliers_images/David_Marat_1793.jpg,1793,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1792. This painting was made in 1792. This painting was made in 1792
7,Outliers_images/Daumier_Wagon_1862.jpg,1854,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1877. This painting was made in 1877. This painting was made in 1877
8,Outliers_images/Mucha_Gismonda_1894.jpg,1894,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907. This painting was made in 1907. This painting was made in 1907.<|endofchunk|>
9,Outliers_images/Picasso_Avignon_1907.jpg,1907,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907.This painting was made in 1907.This painting was made in 1907.This painting
