,Unnamed: 0,images,gt,preds,predicted_class
0,0,Outliers_images/Giotto_Kiss_Judas_1305.jpg,1305,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1494. This painting was made in the 17th century. This painting was made in,1490
1,1,Outliers_images/Pontormo_entombment_1928.jpg,1528,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1503.<|endofchunk|>,1500
2,2,Outliers_images/Campin_Merode_1428.jpg,1428,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 0001. This painting was made in 0001. This painting was made in 0001.<|endofchunk|>,1550
3,3,Outliers_images/Velazques_meninas_1656.jpg,1656,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1519. This painting was made in 17th century. This painting was made in 17,1510
4,4,Outliers_images/Gainsborough_Blue_boy_1770.jpg,1770,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1623. This painting was made in 1851. This painting was made in 1851,1620
5,5,Outliers_images/Goya_Saturn_1819.jpg,1819,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1823. This painting was made in 1851. This painting was made in 1851,1820
6,6,Outliers_images/David_Marat_1793.jpg,1793,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1792. This painting was made in 1792. This painting was made in 1792,1790
7,7,Outliers_images/Daumier_Wagon_1862.jpg,1854,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1877. This painting was made in 1877. This painting was made in 1877,1870
8,8,Outliers_images/Mucha_Gismonda_1894.jpg,1894,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907. This painting was made in 1907. This painting was made in 1907.<|endofchunk|>,1900
9,9,Outliers_images/Picasso_Avignon_1907.jpg,1907,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907.This painting was made in 1907.This painting was made in 1907.This painting,1900
10,10,Outliers_images/Picasso_Guernica_1937.jpg,1937,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in  1944. This painting was made in  1923. This painting was made in  ,1940
11,11,Outliers_images/Duchamp_glass_1923.jpg,1915,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ernest rosenthal in 1932. This painting was made in 1877. This painting was made,1930
12,12,Outliers_images/Gris_guitar_1913.jpg,1913,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1928. This painting was made in 	1928. This painting was made in ,1920
13,13,Outliers_images/Metzinger_Tea_1911.jpg,1911,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907. This painting was made in 1907. This painting was made in 1907.<|endofchunk|>,1900
14,14,Outliers_images/Picasso_chair_1912.jpg,1912,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1928. This painting was made in 	1928. This painting was made in ,1920
15,15,Outliers_images/Dali_Memory_1931.jpg,1931,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1943. This painting was made in rome in 1943. This painting was made in ,1940
16,16,Outliers_images/Matisse_red_1911.jpg,1911,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ernest marciano in 1944. This painting was made in 1793. This painting was made,1940
17,17,Outliers_images/Derain_Collioure_1905.jpg,1905,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in  1907. This painting was made in 1907. This painting was made in 1907.<|endofchunk|>,1900
18,18,Outliers_images/VanDongen_Woman_1906.jpg,1906,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907.This painting was made in 1907.This painting was made in 1907.This painting,1900
19,19,Outliers_images/Pollock_yellow-islands_1952.jpg,1952,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ernest rosenthal in the 1950s. This painting was made in the 1950s.<|endofchunk|>,1950
20,20,Outliers_images/Kline_meryon_1961.jpg,1960,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ernest grunwald in 1943. This painting was made in ernest grunwald in,1940
21,21,Outliers_images/Motherwell_elegy-to-the-spanish-republic-no-110_1971.jpg,1961,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ernest marx in 1955. This painting was made in 1878. This painting was made in,1950
22,22,Outliers_images/Krasner_Gothic_landscape_1961.jpg,1961,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ernest rosenthal in 1943. This painting was made in 1793. This painting was made,1940
23,23,Outliers_images/Stella_Marrakech_1964.jpg,1964,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 0001.This painting was made in 0001.This painting was made in 0001.This painting,1550
24,24,Outliers_images/Rothko_No7_1963.jpg,1963,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ernest martha mary moore. This painting was made in 1877. This painting was,1550
25,25,Outliers_images/Noland_east-west_1963.jpg,1963,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 0001. This painting was made in 0001. This painting was made in 0001. This painting,1550
26,26,Outliers_images/Malevich_black_square_1915.jpg,1915,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 0001. This painting was made in 0001. This painting was made in 0001. This painting,1550
27,27,Outliers_images/Baer_stations_1967.jpg,1967,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 0001.This painting was made in 0001.This painting was made in 0001.This painting,1550
28,28,Outliers_images/Hiroshige_the-plum-garden_1857.jpg,1857,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 朝鮮山 in the Edo period. This painting was made in �,1550
29,29,Outliers_images/Sharaku_the-actor-Otani_1794.jpg,1794,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in uchi-e (woodblock print). This painting was made in the early 20th century.<|endofchunk|>,1550
30,30,Outliers_images/Utamaro_The-courtesan-Takao_1793.jpg,1793,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in uchi-e (woodblock print). This painting was made in the early 20th century.<|endofchunk|>,1550
31,31,Outliers_images/Hokusai_red-fuji_1831.jpg,1831,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in uchi-e (woodblock print). This painting was made in the early 20th century.<|endofchunk|>,1550
32,32,Outliers_images/Duchamp_fountain_1917.jpg,1917,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in  1917. This painting was made in  1917. This painting was made in ,1910
33,33,Outliers_images/Johns_Flag_1955.jpg,1955,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in  1928. This painting was made in  1928. This painting was made in ,1920
34,34,Influential_artworks/Early_Renaissance/FilippoLippi_MadonnaandChild_1455.jpg,1455,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1486. This painting was made in the 17th century. This painting was made in,1480
35,35,Influential_artworks/Early_Renaissance/Masaccio_Tributemoney_1427.jpg,1427,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1503.<|endofchunk|>,1500
36,36,Influential_artworks/Early_Renaissance/Masaccio_holytrinity_1427.jpg,1427,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1483.<|endofchunk|>,1480
37,37,Influential_artworks/Early_Renaissance/FraAngelico_annunciation_1440.jpg,1440,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1486. This painting was made in 17th century. This painting was made in 17,1480
38,38,Influential_artworks/Mannerism_Late_Renaissance/ElGreco_BurialOrgaz_1586.jpg,1586,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 006. This painting was made in 1793. This painting was made in 1793. This painting,1550
39,39,Influential_artworks/Mannerism_Late_Renaissance/Parmigianino_Madonna_1534.jpg,1534,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1508.<|endofchunk|>,1500
40,40,Influential_artworks/Mannerism_Late_Renaissance/Michelangelo_LastJudgment_1536.jpg,1536,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1508.<|endofchunk|>,1500
41,41,Influential_artworks/Mannerism_Late_Renaissance/Bronzino_Allegory_1545.jpg,1545,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1510.<|endofchunk|>,1510
42,42,Influential_artworks/Expressionism/Schiele_selfportrait_1912.jpg,1912,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in ernest hemingway. This painting was made in 1875. This painting was made in 18,1550
43,43,Influential_artworks/Expressionism/Marc_horses_1911.jpg,1911,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in  1907. This painting was made in 1907. This painting was made in 1907.<|endofchunk|>,1900
44,44,Influential_artworks/Expressionism/Munch_scream_1893.jpg,1893,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1889. This painting was made in rome in 1889. This painting was made in ,1880
45,45,Influential_artworks/Expressionism/Kandinsky_bluerider_1903.jpg,1903,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1877. This painting was made in rome in 1877. This painting was made,1870
46,46,Influential_artworks/Expressionism/Kirchner_berlin_1913.jpg,1913,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1928. This painting was made in 	1928. This painting was made in ,1920
47,47,Influential_artworks/Art_nouveau/Khnopff_sphinx_1896.jpg,1896,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1911. This painting was made in rome in 1911. This painting was made in ,1910
48,48,Influential_artworks/Art_nouveau/Klimt_Kiss_1907.jpg,1907,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907.This painting was made in 1907.This painting was made in 1907.This painting,1900
49,49,Influential_artworks/Art_nouveau/ToulouseLautrec_moulinrouge_1895.jpg,1895,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1889. This painting was made in 	1889. This painting was made in ,1880
50,50,Influential_artworks/Art_nouveau/Beardsley_peacock_1893.jpg,1893,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in  1907. This painting was made in 1907. This painting was made in 1907.<|endofchunk|>,1900
51,51,Influential_artworks/Fauvism/Matisse_woman_1905.jpg,1905,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 	1907.<|endofchunk|>,1900
52,52,Influential_artworks/Fauvism/Derain_bridge_1906.jpg,1906,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in  1907. This painting was made in  1907. This painting was made in ,1900
53,53,Influential_artworks/Northern_Renaissance/AlbrechtDurer_Rhinoceros_1515.jpg,1515,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1512.<|endofchunk|>,1510
54,54,Influential_artworks/Northern_Renaissance/Bosch_Garden.jpg,1490,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1503. This painting was made in the 17th century. This painting was made in,1500
55,55,Influential_artworks/Northern_Renaissance/JanVanEyck_Arnolfini_1434.jpg,1434,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in 0001. This painting was made in 0001. This painting was made in 0001. This painting,1550
56,56,Influential_artworks/Northern_Renaissance/Holbein_Ambassadors_1533.jpg,1533,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1503. This painting was made in the 17th century. This painting was made in,1500
57,57,Influential_artworks/Rococo/Tiepolo_Allegory_1752.jpg,1752,<image>This painting was made in 1907.<|endofchunk|><image>This painting was made in 1793.<|endofchunk|><image>This painting was made in rome in 1793. This painting was made in 1793. This painting was made in 1793,1790
