,images,gt,preds
0,Aalto1.jpg,ilmari aalto,william mctaggart
1,Aalto2.jpg,ilmari aalto,charles-francois daubigny
2,Aertsen1.jpg,pieter aertsen,pieter aertsen
3,Aertsen2.jpg,pieter aertsen,pieter aertsen
4,Aertsen3.jpg,pieter aertsen,pieter aertsen
5,Aivazovsky 2.jpg,hovhannes aivazovsky ,hovhannes aivazovsky 
6,Aivazovsky1.jpg,ivan aivazovsky,ivan kramskoi
7,Albani1.jpg,francesco albani,leo gestel
8,Alcazar1.jpg,luis paret y alcazar,paulus potter
9,Alcazar2.jpg,luis paret y alcazar,jean-francois millet
10,Alcazar3.jpg,luis paret y alcazar,paulus potter
11,Allori1.jpg,alessandro allori,jacopo da empoli
12,Altdorfer 1.jpg,albrecht altdorfer ,jacopo da empoli
13,Altdorfer1.jpg,albrecht altdorfer,vasily polenov
14,AmanJean1.jpg,edmond aman-jean,maurice prendergast
15,Amigoni1.jpg,jacopo amigoni,francois boucher
16,Arcimboldo1.jpg,giuseppe arcimboldo,giuseppe arcimboldo
17,Arcimboldo2.jpg,giuseppe arcimboldo,giuseppe arcimboldo
18,Arcimboldo3.jpg,giuseppe arcimboldo,giuseppe arcimboldo
19,Arellano1.jpg,juan de arellano,rachel ruysch
20,Arentsz1.jpg,arent arentsz,aert van der neer
21,Asselijn1.jpg,jan asselijn,arnold bocklin
22,Avercamp1.jpg,hendrick avercamp,pieter brueghel the younger
23,Avercamp2.jpg,hendrick avercamp,hendrick avercamp
24,Backer1.jpg,jacob adriaensz backer,guido cagnacci
25,Baglione1.jpg,giovanni baglione,guido reni
26,Barocci1.jpg,federico barocci,luca giordano
27,Barry1.jpg,james barry,james barry
28,Bartolommeo1.jpg,fra bartolommeo,jacopo da empoli
29,Bartolommeo2.jpg,fra bartolommeo,philippe de champaigne
30,Bartolommeo3.jpg,fra bartolommeo,giorgione
31,Battista1.jpg,giovanni battista,jan van goyen
32,Battista2.jpg,giovanni battista,henri fantin-latour
33,Battista3.jpg,giovanni battista,jean-auguste-dominique ingres
34,Battista4.jpg,giovanni battista,bronzino
35,Battista5.jpg,giovanni battista,gabriel metsu
36,Battista6.jpg,giovanni battista,salomon de bray
37,Bazille1.jpg,frederic bazille,max liebermann
38,Bazille2.jpg,frederic bazille,santiago rusinol
39,Beck1.jpg,david beck,salomon de bray
40,Becker1.jpg,paula modersohn-becker,leo gestel
41,Becker2.jpg,paula modersohn-becker,paula modersohn-becker
42,Beert1.jpg,osias beert,pieter claesz
43,Bellucci1.jpg,antonio bellucci,abraham bloemaert
44,BenjaminWest1.jpg,benjamin west,sir joshua reynolds
45,BenjaminWest10.jpg,benjamin west,philips wouwerman
46,BenjaminWest11.jpg,benjamin west,johann zoffany
47,BenjaminWest12.jpg,benjamin west,thomas gainsborough
48,BenjaminWest13.jpg,benjamin west,benjamin west
49,BenjaminWest14.jpg,benjamin west,benjamin west
50,BenjaminWest15.jpg,benjamin west,george frederic watts
51,BenjaminWest16.jpg,benjamin west,jacques-louis david
52,BenjaminWest17.jpg,benjamin west,william turner
53,BenjaminWest18.jpg,benjamin west,eustache le sueur
54,BenjaminWest2.jpg,benjamin west,william-adolphe bouguereau
55,BenjaminWest3.jpg,benjamin west,nicolas poussin
56,BenjaminWest4.jpg,benjamin west,eustache le sueur
57,BenjaminWest5.jpg,benjamin west,john trumbull
58,BenjaminWest6.jpg,benjamin west,benjamin west
59,BenjaminWest7.jpg,benjamin west,salvator rosa
60,BenjaminWest8.jpg,benjamin west,john singleton copley
61,BenjaminWest9.jpg,benjamin west,theodore chasseriau
62,Benson1.jpg,frank weston benson,edmund c. tarbell
