,images,gt,preds
0,Aalto1.jpg,ilmari aalto,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso. The author
1,Aalto2.jpg,ilmari aalto,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of
2,Aertsen1.jpg,pieter aertsen,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>
3,Aertsen2.jpg,pieter aertsen,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>
4,Aertsen3.jpg,pieter aertsen,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of
5,Aivazovsky 2.jpg,hovhannes aivazovsky ,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 【William-Adolphe Bouguereau】. The author of this painting
6,Aivazovsky1.jpg,ivan aivazovsky,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	J. M. W. Turner. The author of this painting is Pablo Picasso.<|endofchunk|>
7,Albani1.jpg,francesco albani,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of
8,Alcazar1.jpg,luis paret y alcazar,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of
9,Alcazar2.jpg,luis paret y alcazar,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso
