,Unnamed: 0.1,Unnamed: 0,images,gt,preds,predicted_class,predicted_author
0,0,0,Aalto1.jpg,ilmari aalto,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso. The author,orest kiprensky, Ștefan cel Mare
1,1,1,Aalto2.jpg,ilmari aalto,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
2,2,2,Aertsen1.jpg,pieter aertsen,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>,orest kiprensky, Ștefan cel Mare
3,3,3,Aertsen2.jpg,pieter aertsen,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Pablo Picasso.<|endofchunk|>,orest kiprensky, Ștefan cel Mare
4,4,4,Aertsen3.jpg,pieter aertsen,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
5,5,5,Aivazovsky 2.jpg,hovhannes aivazovsky ,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 【William-Adolphe Bouguereau】. The author of this painting,william-adolphe bouguereau, 【William-Adolphe Bouguereau】
6,6,6,Aivazovsky1.jpg,ivan aivazovsky,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	J. M. W. Turner. The author of this painting is Pablo Picasso.<|endofchunk|>,arent arentsz, 	J
7,7,7,Albani1.jpg,francesco albani,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
8,8,8,Alcazar1.jpg,luis paret y alcazar,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
9,9,9,Alcazar2.jpg,luis paret y alcazar,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
10,10,10,Alcazar3.jpg,luis paret y alcazar,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Ștefan cel,orest kiprensky, Ștefan cel Mare
11,11,11,Allori1.jpg,alessandro allori,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo. The author of this painting is Picasso. The author of this painting is Picasso,arent arentsz, romeo
12,12,12,Altdorfer 1.jpg,albrecht altdorfer ,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is romeo and juliet.<|endofchunk|>,benvenuto tisi, romeo and juliet
13,13,13,Altdorfer1.jpg,albrecht altdorfer,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Gustave    �,anton mauve, Gustave    �
14,14,14,AmanJean1.jpg,edmond aman-jean,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernest Hemingway. The author of this painting is Pablo Picasso. The author of this,arent arentsz, ernest Hemingway
15,15,15,Amigoni1.jpg,jacopo amigoni,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is romeo and juliet. The author of this painting is Picasso. The author of this painting,benvenuto tisi, romeo and juliet
16,16,16,Arcimboldo1.jpg,giuseppe arcimboldo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
17,17,17,Arcimboldo2.jpg,giuseppe arcimboldo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is Ștefan cel Mare. The author of this painting is Picasso. The author of,orest kiprensky, Ștefan cel Mare
18,18,18,Arcimboldo3.jpg,giuseppe arcimboldo,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst Haeckel. The author of this painting is Picasso. The author of this,hubert goltzius, ernst Haeckel
19,19,19,Arellano1.jpg,juan de arellano,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst Haeckel. The author of this painting is Picasso. The author of this,hubert goltzius, ernst Haeckel
20,20,20,Arentsz1.jpg,arent arentsz,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is 	Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt, 	Rembrandt
21,21,21,Asselijn1.jpg,jan asselijn,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is ernst Haeckel. The author of this painting is Picasso. The author of this,hubert goltzius, ernst Haeckel
22,22,22,Avercamp1.jpg,hendrick avercamp,<image>The author of this painting is Picasso.<|endofchunk|><image>The author of this painting is David.<|endofchunk|><image>The author of this painting is  Rembrandt. The author of this painting is Van Gogh. The author of this painting,rembrandt,  Rembrandt
