,images,gt,preds
0,Aalto1.jpg,expressionism,post impressionism
1,Aalto2.jpg,expressionism,post impressionism
2,Aertsen1.jpg,renaissance,mannerism
3,Aertsen2.jpg,renaissance,baroque
4,Aertsen3.jpg,renaissance,baroque
5,Aivazovsky 2.jpg,romanticism,romanticism
6,Aivazovsky1.jpg,romanticism,romanticism
7,Albani1.jpg,baroque,mannerism
8,Alcazar1.jpg,rococo,romanticism
9,Alcazar2.jpg,rococo,romanticism
10,Alcazar3.jpg,rococo,rococo
11,Allori1.jpg,mannerism,baroque
12,Altdorfer 1.jpg,renaissance,classicism
13,Altdorfer1.jpg,romanticism,romanticism
14,AmanJean1.jpg,symbolism,post impressionism
15,Amigoni1.jpg,rococo,rococo
16,Arcimboldo1.jpg,renaissance,mannerism
17,Arcimboldo2.jpg,renaissance,baroque
18,Arcimboldo3.jpg,renaissance,baroque
19,Arellano1.jpg,baroque,rococo
20,Arentsz1.jpg,baroque,romanticism
21,Asselijn1.jpg,baroque,romanticism
22,Avercamp1.jpg,baroque,romanticism
23,Avercamp2.jpg,baroque,romanticism
24,Backer1.jpg,baroque,baroque
25,Baglione1.jpg,baroque,classicism
26,Barocci1.jpg,baroque,baroque
27,Barry1.jpg,romanticism,romanticism
28,Bartolommeo1.jpg,renaissance,classicism
29,Bartolommeo2.jpg,renaissance,mannerism
30,Bartolommeo3.jpg,renaissance,mannerism
31,Battista1.jpg,renaissance,mannerism
32,Battista2.jpg,renaissance,mannerism
33,Battista3.jpg,renaissance,mannerism
34,Battista4.jpg,renaissance,realism
35,Battista5.jpg,renaissance,romanticism
36,Battista6.jpg,renaissance,romanticism
37,Bazille1.jpg,impressionism,romanticism
38,Bazille2.jpg,impressionism,romanticism
39,Beck1.jpg,baroque,baroque
40,Becker1.jpg,expressionism,post impressionism
41,Becker2.jpg,expressionism,post impressionism
42,Beert1.jpg,baroque,rococo
43,Bellucci1.jpg,rococo,classicism
44,BenjaminWest1.jpg,classicism,rococo
45,BenjaminWest10.jpg,classicism,rococo
46,BenjaminWest11.jpg,classicism,romanticism
47,BenjaminWest12.jpg,classicism,romanticism
48,BenjaminWest13.jpg,classicism,classicism
49,BenjaminWest14.jpg,classicism,rococo
