,Unnamed: 0,images,gt,preds,predicted_class
0,0,Aalto1.jpg,1915,1921,1900
1,1,Aalto2.jpg,1917,1916,1900
2,2,Aertsen1.jpg,1569,1568,1500
3,3,Aertsen2.jpg,1575,1568,1500
4,4,Aertsen3.jpg,1553,1563,1500
5,5,Aivazovsky 2.jpg,1850,1847,1800
6,6,Aivazovsky1.jpg,1881,1877,1800
7,7,Albani1.jpg,1607,1913,1900
8,8,Alcazar1.jpg,1784,1812,1800
9,9,Alcazar2.jpg,1786,1861,1800
10,10,Alcazar3.jpg,1786,1807,1800
11,11,Allori1.jpg,1593,1545,1500
12,12,Altdorfer 1.jpg,1520,1650,1600
13,13,Altdorfer1.jpg,1516,1861,1800
14,14,AmanJean1.jpg,1923,1913,1900
15,15,Amigoni1.jpg,1742,1713,1700
16,16,Arcimboldo1.jpg,1563,1612,1600
17,17,Arcimboldo2.jpg,1590,1612,1600
18,18,Arcimboldo3.jpg,1590,1590,1500
19,19,Arellano1.jpg,1671,1713,1700
20,20,Arentsz1.jpg,-----,1800,1800
21,21,Asselijn1.jpg,1652,1813,1800
22,22,Avercamp1.jpg,1615,1812,1800
23,23,Avercamp2.jpg,1620,1812,1800
24,24,Backer1.jpg,1590,1627,1600
25,25,Baglione1.jpg,1602,1620,1600
26,26,Barocci1.jpg,1579,1680,1600
27,27,Barry1.jpg,1772,1817,1800
28,28,Bartolommeo1.jpg,1507,1506,1500
29,29,Bartolommeo2.jpg,1516,1545,1500
30,30,Bartolommeo3.jpg,1509,1545,1500
31,31,Battista1.jpg,1575,1577,1500
32,32,Battista2.jpg,1552,1600,1600
33,33,Battista3.jpg,1550,1826,1800
34,34,Battista4.jpg,1570,1805,1800
35,35,Battista5.jpg,1560,1595,1500
36,36,Battista6.jpg,1565,1805,1800
37,37,Bazille1.jpg,1870,1867,1800
38,38,Bazille2.jpg,1864,1887,1800
39,39,Beck1.jpg,1651,1597,1500
40,40,Becker1.jpg,1907,1913,1900
41,41,Becker2.jpg,1902,1913,1900
42,42,Beert1.jpg,1625,1615,1600
43,43,Bellucci1.jpg,1718,1713,1700
44,44,BenjaminWest1.jpg,1777,1796,1700
45,45,BenjaminWest10.jpg,1778,1714,1700
46,46,BenjaminWest11.jpg,1788,1810,1800
47,47,BenjaminWest12.jpg,1795,1812,1800
48,48,BenjaminWest13.jpg,1775,1713,1700
49,49,BenjaminWest14.jpg,1816,1776,1700
50,50,BenjaminWest15.jpg,1785,1806,1800
51,51,BenjaminWest16.jpg,1766,1805,1800
52,52,BenjaminWest17.jpg,1800,1811,1800
53,53,BenjaminWest18.jpg,1768,1805,1800
54,54,BenjaminWest2.jpg,1778,1819,1800
55,55,BenjaminWest3.jpg,1766,1710,1700
56,56,BenjaminWest4.jpg,1766,1797,1700
57,57,BenjaminWest5.jpg,1812,1812,1800
58,58,BenjaminWest6.jpg,1778,1767,1700
59,59,BenjaminWest7.jpg,1772,1713,1700
60,60,BenjaminWest8.jpg,1777,1777,1700
61,61,BenjaminWest9.jpg,1805,1805,1800
62,62,Benson1.jpg,1890,1913,1900
63,63,Benson2.jpg,1909,1906,1900
64,64,Bernard1.jpg,1892,1921,1900
65,65,Bernard2.jpg,1891,1916,1900
66,66,Bernard3.jpg,1892,1913,1900
67,67,Bernard4.jpg,1887,1910,1900
68,68,Blanchard1.jpg,1638,1719,1700
69,69,Bloemaert1.jpg,1591,1633,1600
70,70,Bloemaert2.jpg,1632,1720,1700
71,71,Bocklin1.jpg,1872,1887,1800
72,72,Bocklin2.jpg,1883,1913,1900
73,73,Bocklin3.jpg,1879,1851,1800
74,74,Bocklin4.jpg,1885,1523,1500
75,75,Boel1.jpg,1674,1719,1700
76,76,Boel2.jpg,1674,1565,1500
77,77,Bol1.jpg,1647,1713,1700
78,78,Bol2.jpg,1652,1710,1700
79,79,Bonheur1.jpg,1849,1871,1800
80,80,Borch1.jpg,1665,1806,1800
81,81,Borch2.jpg,1656,1714,1700
82,82,Borch3.jpg,1655,1666,1600
83,83,Borch4.jpg,1659,1861,1800
84,84,Borch5.jpg,1654,1840,1800
85,85,Borch6.jpg,1658,1666,1600
86,86,Borch7.jpg,1668,1806,1800
87,87,Borch8.jpg,1654,1840,1800
88,88,Bordone1.jpg,1550,1640,1600
89,89,Bordone2.jpg,1530,1610,1600
