,images,gt,preds
0,Impressionism/edgar-degas_dancers-on-set-1880.jpg,edgar degas,edgar degas
1,Impressionism/claude-monet_water-lilies-6.jpg,claude monet,claude monet
2,Impressionism/giovanni-boldini_a-guitar-player-1873.jpg,giovanni boldini,giovanni boldini
3,Impressionism/john-singer-sargent_at-torre-galli-ladies-in-a-garden-1910.jpg,john singer sargent,karoly ferenczy
4,Impressionism/john-singer-sargent_artist-in-the-simplon.jpg,john singer sargent,pierre tal coat
5,Impressionism/william-merritt-chase_shinnecock-landscape-1.jpg,william merritt chase,william merritt chase
6,Impressionism/lovis-corinth_the-sea-near-la-spezia-1914.jpg,lovis corinth,joaquin sorolla
7,Impressionism/paul-gauguin_dahlias-in-a-copper-vase-1885.jpg,paul gauguin,henri fantin latour
8,Impressionism/edgar-degas_the-curtain.jpg,edgar degas,william james glackens
9,Impressionism/constantin-artachino_on-the-terrace.jpg,constantin artachino,amrita sher gil
10,Impressionism/john-singer-sargent_in-the-tyrol-1904.jpg,john singer sargent,thomas moran
11,Impressionism/alfred-sisley_border-of-the-woods-1885.jpg,alfred sisley,gustave loiseau
12,Impressionism/eugene-boudin_beach-scene.jpg,eugene boudin,charles francois daubigny
13,Impressionism/giuseppe-de-nittis_snow-effect.jpg,giuseppe de nittis,giuseppe de nittis
14,Impressionism/nikolay-bogdanov-belsky_school-friends.jpg,nikolay bogdanov belsky,mstislav dobuzhinsky
15,Impressionism/alfred-sisley_orchard-1885.jpg,alfred sisley,jules pascin
16,Impressionism/childe-hassam_dewey-s-arch.jpg,childe hassam,henri catargi
17,Impressionism/childe-hassam_view-of-broadway-and-fifth-avenue.jpg,childe hassam,william james glackens
18,Impressionism/frits-thaulow_channel-with-watermill.jpg,frits thaulow,frits thaulow
19,Impressionism/john-singer-sargent_camping-at-lake-o-hara-1916.jpg,john singer sargent,george luks
20,Impressionism/edgar-degas_before-the-ballet-detail-1892-1.jpg,edgar degas,james mcneill whistler
21,Impressionism/william-merritt-chase_peonies-1897.jpg,william merritt chase,william merritt chase
22,Impressionism/asgrimur-jonsson_thj-rs-river-mt-hekla-in-the-evening-sun-1918.jpg,asgrimur jonsson,ilya mashkov
23,Impressionism/giovanni-boldini_the-dump-at-the-door-of-asier-1887.jpg,giovanni boldini,giovanni boldini
24,Impressionism/gustave-caillebotte_game-birds-and-lemons.jpg,gustave caillebotte,gustave caillebotte
25,Impressionism/gustave-caillebotte_portrait-of-a-man.jpg,gustave caillebotte,james mcneill whistler
26,Impressionism/camille-pissarro_laundresses-at-eragny-1.jpg,camille pissarro,camille pissarro
27,Impressionism/egon-schiele_view-into-the-apartment-of-leopold-and-marie-czihaczek-1907.jpg,egon schiele,santiago rusinol
28,Impressionism/camille-pissarro_the-tedder-1884.jpg,camille pissarro,camille pissarro
29,Impressionism/childe-hassam_flower-girl-by-the-seine-paris.jpg,childe hassam,childe hassam
30,Impressionism/john-singer-sargent_two-girls-lying-on-the-grass-1889.jpg,john singer sargent,anders zorn
31,Impressionism/edgar-degas_self-portrait-with-evariste-de-valernes.jpg,edgar degas,john everett millais
32,Impressionism/santiago-rusinol_entrada-al-vinyet-1892.jpg,santiago rusinol,santiago rusinol
33,Impressionism/claude-monet_banks-of-the-seine-at-jeufosse-autumn.jpg,claude monet,gustave loiseau
34,Impressionism/william-merritt-chase_hunting-game-in-shinnecock-hills.jpg,william merritt chase,robert julian onderdonk
35,Impressionism/james-ensor_landscape-1883.jpg,james ensor,gustave loiseau
36,Impressionism/antoine-blanchard_arc-de-triomphe.jpg,antoine blanchard,edouard cortes
37,Impressionism/edgar-degas_the-dance-class-1874.jpg,edgar degas,edgar degas
38,Impressionism/claude-monet_vetheuil-the-church-in-winter.jpg,claude monet,vasily surikov
39,Impressionism/eugene-boudin_saint-valery-sur-somme-moonrise-over-the-canal.jpg,eugene boudin,camille corot
40,Impressionism/abraham-manievich_still-life-with-glass.jpg,abraham manievich,rik wouters
41,Impressionism/micaela-eleutheriade_monte-carlo.jpg,micaela eleutheriade,raoul dufy
42,Impressionism/stefan-popescu_veranda-with-flowers.jpg,stefan popescu,karoly ferenczy
43,Impressionism/john-atkinson-grimshaw_boar-lane-leeds-1881.jpg,john atkinson grimshaw,john atkinson grimshaw
44,Impressionism/camille-pissarro_the-garden-at-eragny.jpg,camille pissarro,camille pissarro
45,Impressionism/james-mcneill-whistler_note-in-blue-and-opal.jpg,james mcneill whistler,charles francois daubigny
46,Impressionism/eugene-boudin_laundresses-on-the-banks-of-the-river.jpg,eugene boudin,valentin serov
47,Impressionism/nutzi-acontz_horseshoeing-1948.jpg,nutzi acontz,natalia goncharova
48,Impressionism/adolf-hitler_the-country-church.jpg,adolf hitler,marevna (marie vorobieff)
49,Impressionism/childe-hassam_against-the-light.jpg,childe hassam,childe hassam
50,Impressionism/konstantin-korovin_roses-1917.jpg,konstantin korovin,lovis corinth
51,Impressionism/joaquin-sorolla_guitplayers-valencia-1889.jpg,joaquin sorolla,charles hermans
52,Impressionism/julian-alden-weir_summer-1898.jpg,julian alden weir,henri martin
53,Impressionism/eugene-boudin_beach-at-trouville-1864.jpg,eugene boudin,giuseppe de nittis
54,Impressionism/joaquin-sorolla_my-family-1901.jpg,joaquin sorolla,julius leblanc stewart
55,Impressionism/joaquin-sorolla_puente-de-real-1908.jpg,joaquin sorolla,lucian grigorescu
56,Impressionism/camille-pissarro_picking-peas-1.jpg,camille pissarro,camille pissarro
57,Impressionism/mary-cassatt_after-the-bath.jpg,mary cassatt,mary cassatt
58,Impressionism/john-henry-twachtman_cincinnati-landscape.jpg,john henry twachtman,eugene boudin
59,Impressionism/jean-alexandru-steriadi_portul-roscoff-1928.jpg,jean alexandru steriadi,gustave loiseau
60,Impressionism/john-singer-sargent_purtud-alpine-scene-and-boulders.jpg,john singer sargent,franklin carmichael
