,images,gt,preds
0,Impressionism/john-singer-sargent_at-torre-galli-ladies-in-a-garden-1910.jpg,1910,1913
1,Impressionism/lovis-corinth_the-sea-near-la-spezia-1914.jpg,1914,2008
2,Impressionism/john-singer-sargent_in-the-tyrol-1904.jpg,1904,1910
3,Impressionism/john-singer-sargent_camping-at-lake-o-hara-1916.jpg,1916,1912
4,Impressionism/asgrimur-jonsson_thj-rs-river-mt-hekla-in-the-evening-sun-1918.jpg,1918,1916
5,Impressionism/egon-schiele_view-into-the-apartment-of-leopold-and-marie-czihaczek-1907.jpg,1907,1906
6,Impressionism/nutzi-acontz_horseshoeing-1948.jpg,1948,1947
7,Impressionism/konstantin-korovin_roses-1917.jpg,1917,1910
8,Impressionism/joaquin-sorolla_my-family-1901.jpg,1901,1906
9,Impressionism/joaquin-sorolla_puente-de-real-1908.jpg,1908,1910
10,Impressionism/jean-alexandru-steriadi_portul-roscoff-1928.jpg,1928,1910
11,Impressionism/mario-zanini_lerici-1950.jpg,1950,1947
12,Impressionism/santiago-rusinol_terraced-garden-in-mallorca-1911.jpg,1911,1910
13,Impressionism/claude-monet_houses-of-parliament-fog-effect-1901.jpg,1901,1906
14,Impressionism/samuel-mutzner_pod-la-vene-ia-1929.jpg,1929,1913
15,Impressionism/claude-monet_palazzo-dario-1908.jpg,1908,1910
16,Impressionism/lovis-corinth_the-walchensee-mountains-wreathed-in-cloud-1925.jpg,1925,1913
17,Impressionism/konstantin-korovin_roses-and-fruit-1917.jpg,1917,1910
18,Impressionism/joaquin-sorolla_peppers-1903.jpg,1903,1913
19,Impressionism/t.-c.-steele_the-poplars-1914.jpg,1914,1910
20,Impressionism/claude-monet_path-under-the-rose-trellises-giverny-1922-1.jpg,1922,2000
21,Impressionism/raoul-dufy_view-of-paris-from-monmartre-1902.jpg,1902,1910
22,Impressionism/pierre-auguste-renoir_seated-couple-1912.jpg,1912,1913
23,Impressionism/joaquin-sorolla_the-cemetery-at-sierra-nevada-granada-1910.jpg,1910,1913
24,Impressionism/claude-monet_weeping-willow-and-water-lily-pond-2-1919.jpg,1919,1913
25,Impressionism/frederic-remington_against-the-sunset-1906.jpg,1906,1910
26,Impressionism/claude-monet_water-lilies-and-agapanthus-1917.jpg,1917,1909
27,Impressionism/valentin-serov_portrait-of-sergei-diaghilev-1904.jpg,1904,1917
28,Impressionism/konstantin-korovin_still-life-with-portrait-of-pertseva-1916.jpg,1916,1910
29,Impressionism/zinaida-serebriakova_winter-wheat-1910.jpg,1910,1946
30,Impressionism/ilya-mashkov_zages-and-a-statue-of-lenin-1927.jpg,1927,1913
31,Impressionism/andre-dunoyer-de-segonzac_the-farm-on-the-estate-1923.jpg,1923,1910
32,Impressionism/pierre-auguste-renoir_young-woman-with-a-rose-in-her-hat-1913.jpg,1913,1921
33,Impressionism/augustus-john_mas-de-galeron-1950.jpg,1950,1910
34,Impressionism/claude-monet_water-lilies-1917-4.jpg,1917,1906
35,Impressionism/lucia-demetriade-balacescu_mangalia-veche-1945.jpg,1945,1931
36,Impressionism/joaquin-sorolla_elenita-at-the-beach-asturias-1903.jpg,1903,1910
37,Impressionism/auguste-rodin_walking-man-1900.jpg,1900,1931
38,Impressionism/istvan-nagy_sz-kely-room-1919.jpg,1919,1913
39,Impressionism/mary-cassatt_woman-sewing-1914.jpg,1914,1910
40,Impressionism/claude-monet_water-lilies-1919-3.jpg,1919,1913
41,Impressionism/valentin-serov_portrait-of-a-princess-olga-orlova-1911.jpg,1911,1913
42,Impressionism/henri-matisse_the-pot-saint-michel-in-paris-1900.jpg,1900,1906
43,Impressionism/william-james-glackens_breezy-day-tugboats-new-york-harbor-1910.jpg,1910,1913
44,Impressionism/john-singer-sargent_the-brook-1907.jpg,1907,1906
45,Impressionism/henry-herbert-la-thangue_a-proven-al-stream-1903.jpg,1903,1906
46,Impressionism/william-james-glackens_treading-clams-wickford-1909.jpg,1909,1910
47,Impressionism/lovis-corinth_portrait-of-charlotte-berend-in-white-dress-1902.jpg,1902,1906
48,Impressionism/theodor-pallady_interior-din-atelierul-din-place-dauphine-1934.jpg,1934,1931
49,Impressionism/ivan-grohar_vrbe-ob-potoku-1911.jpg,1911,1909
50,Impressionism/ivan-grohar_na-sedlu-1908.jpg,1908,1906
51,Impressionism/john-singer-sargent_arab-stable-1906.jpg,1906,1913
52,Impressionism/nicolae-vermont_birch-wood-1902.jpg,1902,1913
53,Impressionism/ipolit-strambu_vase-with-roses-and-chrysanthemums-1911.jpg,1911,1910
54,Impressionism/pyotr-konchalovsky_belkino-birch-1907.jpg,1907,1909
55,Impressionism/nicolae-vermont_spring-noon-1926.jpg,1926,1910
56,Impressionism/amadeo-de-souza-cardoso_gypsies-1910.jpg,1910,1921
57,Impressionism/theo-van-rysselberghe_nude-1902.jpg,1902,1921
58,Impressionism/joaquin-sorolla_after-the-bath-1908.jpg,1908,1913
59,Impressionism/john-singer-sargent_corfu-lights-and-shadows-1909.jpg,1909,1913
60,Impressionism/joaquin-sorolla_self-portrait-1909.jpg,1909,1913
61,Impressionism/emmanuel-zairis_girl-in-the-vegetable-garden-1920.jpg,1920,1916
62,Impressionism/william-james-glackens_girl-roller-skating-washington-square-1914.jpg,1914,1910
63,Impressionism/claude-monet_the-japanese-bridge-1924-2.jpg,1924,1913
64,Impressionism/cornelis-vreedenburgh_winterfun-on-de-loswal-hattem-1914.jpg,1914,1910
65,Impressionism/john-henry-twachtman_barnyard-1900.jpg,1900,1910
66,Impressionism/camille-pissarro_the-louvre-and-the-seine-from-the-pont-neuf-1902.jpg,1902,1906
67,Impressionism/john-singer-sargent_la-biancheria-1910.jpg,1910,2008
68,Impressionism/ipolit-strambu_peasant-woman-1909.jpg,1909,1913
69,Impressionism/childe-hassam_the-snowy-winter-of-1918-new-york.jpg,1918,1913
70,Impressionism/vasily-surikov_alupka-ai-petri-1915.jpg,1915,1921
71,Impressionism/john-singer-sargent_the-fence-1914.jpg,1914,1957
72,Impressionism/edmund-charles-tarbell_profile-1900.jpg,1900,1903
73,Impressionism/theophrastos-triantafyllidis_bathers-on-the-boat-1930.jpg,1930,1920
74,Impressionism/john-singer-sargent_rainy-day-on-the-deck-of-the-yacht-constellation-1924.jpg,1924,1916
75,Impressionism/nicolae-darascu_still-life-with-lobsters-1925.jpg,1925,1910
76,Impressionism/camille-pissarro_the-seine-at-paris-pont-royal-1903.jpg,1903,1906
77,Impressionism/samuel-mutzner_t-rg-n-grande-jatte-1922.jpg,1922,1916
78,Impressionism/guy-rose_portrait-of-an-algerian-1900.jpg,1900,1910
79,Impressionism/henry-herbert-la-thangue_packing-stocks-1920.jpg,1920,1910
80,Impressionism/konstantin-korovin_donate-to-victims-of-war-dmitry-donskoy-1914.jpg,1914,1914
81,Impressionism/robert-julian-onderdonk_a-winter-morning-on-the-guadalupe-river-1911.jpg,1911,1910
82,Impressionism/pierre-auguste-renoir_head-of-a-woman-1913.jpg,1913,1906
