,Unnamed: 0,images,gt,preds,predicted_class
0,0,Impressionism/john-singer-sargent_at-torre-galli-ladies-in-a-garden-1910.jpg,1910,1913,1910
1,1,Impressionism/lovis-corinth_the-sea-near-la-spezia-1914.jpg,1914,2008,2000
2,2,Impressionism/john-singer-sargent_in-the-tyrol-1904.jpg,1904,1910,1910
3,3,Impressionism/john-singer-sargent_camping-at-lake-o-hara-1916.jpg,1916,1912,1910
4,4,Impressionism/asgrimur-jonsson_thj-rs-river-mt-hekla-in-the-evening-sun-1918.jpg,1918,1916,1910
5,5,Impressionism/egon-schiele_view-into-the-apartment-of-leopold-and-marie-czihaczek-1907.jpg,1907,1906,1900
6,6,Impressionism/nutzi-acontz_horseshoeing-1948.jpg,1948,1947,1940
7,7,Impressionism/konstantin-korovin_roses-1917.jpg,1917,1910,1910
8,8,Impressionism/joaquin-sorolla_my-family-1901.jpg,1901,1906,1900
9,9,Impressionism/joaquin-sorolla_puente-de-real-1908.jpg,1908,1910,1910
10,10,Impressionism/jean-alexandru-steriadi_portul-roscoff-1928.jpg,1928,1910,1910
11,11,Impressionism/mario-zanini_lerici-1950.jpg,1950,1947,1940
12,12,Impressionism/santiago-rusinol_terraced-garden-in-mallorca-1911.jpg,1911,1910,1910
13,13,Impressionism/claude-monet_houses-of-parliament-fog-effect-1901.jpg,1901,1906,1900
14,14,Impressionism/samuel-mutzner_pod-la-vene-ia-1929.jpg,1929,1913,1910
15,15,Impressionism/claude-monet_palazzo-dario-1908.jpg,1908,1910,1910
16,16,Impressionism/lovis-corinth_the-walchensee-mountains-wreathed-in-cloud-1925.jpg,1925,1913,1910
17,17,Impressionism/konstantin-korovin_roses-and-fruit-1917.jpg,1917,1910,1910
18,18,Impressionism/joaquin-sorolla_peppers-1903.jpg,1903,1913,1910
19,19,Impressionism/t.-c.-steele_the-poplars-1914.jpg,1914,1910,1910
20,20,Impressionism/claude-monet_path-under-the-rose-trellises-giverny-1922-1.jpg,1922,2000,2000
21,21,Impressionism/raoul-dufy_view-of-paris-from-monmartre-1902.jpg,1902,1910,1910
22,22,Impressionism/pierre-auguste-renoir_seated-couple-1912.jpg,1912,1913,1910
23,23,Impressionism/joaquin-sorolla_the-cemetery-at-sierra-nevada-granada-1910.jpg,1910,1913,1910
24,24,Impressionism/claude-monet_weeping-willow-and-water-lily-pond-2-1919.jpg,1919,1913,1910
25,25,Impressionism/frederic-remington_against-the-sunset-1906.jpg,1906,1910,1910
26,26,Impressionism/claude-monet_water-lilies-and-agapanthus-1917.jpg,1917,1909,1900
27,27,Impressionism/valentin-serov_portrait-of-sergei-diaghilev-1904.jpg,1904,1917,1910
28,28,Impressionism/konstantin-korovin_still-life-with-portrait-of-pertseva-1916.jpg,1916,1910,1910
29,29,Impressionism/zinaida-serebriakova_winter-wheat-1910.jpg,1910,1946,1940
30,30,Impressionism/ilya-mashkov_zages-and-a-statue-of-lenin-1927.jpg,1927,1913,1910
31,31,Impressionism/andre-dunoyer-de-segonzac_the-farm-on-the-estate-1923.jpg,1923,1910,1910
32,32,Impressionism/pierre-auguste-renoir_young-woman-with-a-rose-in-her-hat-1913.jpg,1913,1921,1920
33,33,Impressionism/augustus-john_mas-de-galeron-1950.jpg,1950,1910,1910
34,34,Impressionism/claude-monet_water-lilies-1917-4.jpg,1917,1906,1900
35,35,Impressionism/lucia-demetriade-balacescu_mangalia-veche-1945.jpg,1945,1931,1930
36,36,Impressionism/joaquin-sorolla_elenita-at-the-beach-asturias-1903.jpg,1903,1910,1910
37,37,Impressionism/auguste-rodin_walking-man-1900.jpg,1900,1931,1930
38,38,Impressionism/istvan-nagy_sz-kely-room-1919.jpg,1919,1913,1910
39,39,Impressionism/mary-cassatt_woman-sewing-1914.jpg,1914,1910,1910
40,40,Impressionism/claude-monet_water-lilies-1919-3.jpg,1919,1913,1910
41,41,Impressionism/valentin-serov_portrait-of-a-princess-olga-orlova-1911.jpg,1911,1913,1910
42,42,Impressionism/henri-matisse_the-pot-saint-michel-in-paris-1900.jpg,1900,1906,1900
43,43,Impressionism/william-james-glackens_breezy-day-tugboats-new-york-harbor-1910.jpg,1910,1913,1910
44,44,Impressionism/john-singer-sargent_the-brook-1907.jpg,1907,1906,1900
45,45,Impressionism/henry-herbert-la-thangue_a-proven-al-stream-1903.jpg,1903,1906,1900
46,46,Impressionism/william-james-glackens_treading-clams-wickford-1909.jpg,1909,1910,1910
47,47,Impressionism/lovis-corinth_portrait-of-charlotte-berend-in-white-dress-1902.jpg,1902,1906,1900
48,48,Impressionism/theodor-pallady_interior-din-atelierul-din-place-dauphine-1934.jpg,1934,1931,1930
49,49,Impressionism/ivan-grohar_vrbe-ob-potoku-1911.jpg,1911,1909,1900
50,50,Impressionism/ivan-grohar_na-sedlu-1908.jpg,1908,1906,1900
51,51,Impressionism/john-singer-sargent_arab-stable-1906.jpg,1906,1913,1910
52,52,Impressionism/nicolae-vermont_birch-wood-1902.jpg,1902,1913,1910
53,53,Impressionism/ipolit-strambu_vase-with-roses-and-chrysanthemums-1911.jpg,1911,1910,1910
54,54,Impressionism/pyotr-konchalovsky_belkino-birch-1907.jpg,1907,1909,1900
55,55,Impressionism/nicolae-vermont_spring-noon-1926.jpg,1926,1910,1910
56,56,Impressionism/amadeo-de-souza-cardoso_gypsies-1910.jpg,1910,1921,1920
57,57,Impressionism/theo-van-rysselberghe_nude-1902.jpg,1902,1921,1920
58,58,Impressionism/joaquin-sorolla_after-the-bath-1908.jpg,1908,1913,1910
59,59,Impressionism/john-singer-sargent_corfu-lights-and-shadows-1909.jpg,1909,1913,1910
60,60,Impressionism/joaquin-sorolla_self-portrait-1909.jpg,1909,1913,1910
61,61,Impressionism/emmanuel-zairis_girl-in-the-vegetable-garden-1920.jpg,1920,1916,1910
62,62,Impressionism/william-james-glackens_girl-roller-skating-washington-square-1914.jpg,1914,1910,1910
63,63,Impressionism/claude-monet_the-japanese-bridge-1924-2.jpg,1924,1913,1910
64,64,Impressionism/cornelis-vreedenburgh_winterfun-on-de-loswal-hattem-1914.jpg,1914,1910,1910
65,65,Impressionism/john-henry-twachtman_barnyard-1900.jpg,1900,1910,1910
66,66,Impressionism/camille-pissarro_the-louvre-and-the-seine-from-the-pont-neuf-1902.jpg,1902,1906,1900
67,67,Impressionism/john-singer-sargent_la-biancheria-1910.jpg,1910,2008,2000
