,images,gt,preds
0,Impressionism/john-singer-sargent_at-torre-galli-ladies-in-a-garden-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
1,Impressionism/lovis-corinth_the-sea-near-la-spezia-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1984."
2,Impressionism/john-singer-sargent_in-the-tyrol-1904.jpg,1904,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1987."
3,Impressionism/john-singer-sargent_camping-at-lake-o-hara-1916.jpg,1916,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
4,Impressionism/asgrimur-jonsson_thj-rs-river-mt-hekla-in-the-evening-sun-1918.jpg,1918,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
5,Impressionism/egon-schiele_view-into-the-apartment-of-leopold-and-marie-czihaczek-1907.jpg,1907,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
6,Impressionism/nutzi-acontz_horseshoeing-1948.jpg,1948,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
7,Impressionism/konstantin-korovin_roses-1917.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
8,Impressionism/joaquin-sorolla_my-family-1901.jpg,1901,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
9,Impressionism/joaquin-sorolla_puente-de-real-1908.jpg,1908,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
10,Impressionism/jean-alexandru-steriadi_portul-roscoff-1928.jpg,1928,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
11,Impressionism/mario-zanini_lerici-1950.jpg,1950,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
12,Impressionism/santiago-rusinol_terraced-garden-in-mallorca-1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
13,Impressionism/claude-monet_houses-of-parliament-fog-effect-1901.jpg,1901,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1904."
14,Impressionism/samuel-mutzner_pod-la-vene-ia-1929.jpg,1929,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
15,Impressionism/claude-monet_palazzo-dario-1908.jpg,1908,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
16,Impressionism/lovis-corinth_the-walchensee-mountains-wreathed-in-cloud-1925.jpg,1925,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
17,Impressionism/konstantin-korovin_roses-and-fruit-1917.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
18,Impressionism/joaquin-sorolla_peppers-1903.jpg,1903,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
19,Impressionism/t.-c.-steele_the-poplars-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
20,Impressionism/claude-monet_path-under-the-rose-trellises-giverny-1922-1.jpg,1922,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 1960s."
21,Impressionism/raoul-dufy_view-of-paris-from-monmartre-1902.jpg,1902,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
22,Impressionism/pierre-auguste-renoir_seated-couple-1912.jpg,1912,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
23,Impressionism/joaquin-sorolla_the-cemetery-at-sierra-nevada-granada-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
24,Impressionism/claude-monet_weeping-willow-and-water-lily-pond-2-1919.jpg,1919,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
25,Impressionism/frederic-remington_against-the-sunset-1906.jpg,1906,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
26,Impressionism/claude-monet_water-lilies-and-agapanthus-1917.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1913."
27,Impressionism/valentin-serov_portrait-of-sergei-diaghilev-1904.jpg,1904,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the early 20th century."
28,Impressionism/konstantin-korovin_still-life-with-portrait-of-pertseva-1916.jpg,1916,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
29,Impressionism/zinaida-serebriakova_winter-wheat-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
30,Impressionism/ilya-mashkov_zages-and-a-statue-of-lenin-1927.jpg,1927,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
31,Impressionism/andre-dunoyer-de-segonzac_the-farm-on-the-estate-1923.jpg,1923,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1913."
32,Impressionism/pierre-auguste-renoir_young-woman-with-a-rose-in-her-hat-1913.jpg,1913,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
33,Impressionism/augustus-john_mas-de-galeron-1950.jpg,1950,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
34,Impressionism/claude-monet_water-lilies-1917-4.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the late 19th century."
35,Impressionism/lucia-demetriade-balacescu_mangalia-veche-1945.jpg,1945,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
36,Impressionism/joaquin-sorolla_elenita-at-the-beach-asturias-1903.jpg,1903,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
37,Impressionism/auguste-rodin_walking-man-1900.jpg,1900,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1964."
38,Impressionism/istvan-nagy_sz-kely-room-1919.jpg,1919,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
39,Impressionism/mary-cassatt_woman-sewing-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1918."
40,Impressionism/claude-monet_water-lilies-1919-3.jpg,1919,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1917."
41,Impressionism/valentin-serov_portrait-of-a-princess-olga-orlova-1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
42,Impressionism/henri-matisse_the-pot-saint-michel-in-paris-1900.jpg,1900,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1918."
43,Impressionism/william-james-glackens_breezy-day-tugboats-new-york-harbor-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
44,Impressionism/john-singer-sargent_the-brook-1907.jpg,1907,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
45,Impressionism/henry-herbert-la-thangue_a-proven-al-stream-1903.jpg,1903,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
46,Impressionism/william-james-glackens_treading-clams-wickford-1909.jpg,1909,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
47,Impressionism/lovis-corinth_portrait-of-charlotte-berend-in-white-dress-1902.jpg,1902,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1886."
48,Impressionism/theodor-pallady_interior-din-atelierul-din-place-dauphine-1934.jpg,1934,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1915."
49,Impressionism/ivan-grohar_vrbe-ob-potoku-1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
50,Impressionism/ivan-grohar_na-sedlu-1908.jpg,1908,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the late 19th century."
51,Impressionism/john-singer-sargent_arab-stable-1906.jpg,1906,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
52,Impressionism/nicolae-vermont_birch-wood-1902.jpg,1902,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
53,Impressionism/ipolit-strambu_vase-with-roses-and-chrysanthemums-1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
54,Impressionism/pyotr-konchalovsky_belkino-birch-1907.jpg,1907,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
55,Impressionism/nicolae-vermont_spring-noon-1926.jpg,1926,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the late 19th century."
56,Impressionism/amadeo-de-souza-cardoso_gypsies-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
57,Impressionism/theo-van-rysselberghe_nude-1902.jpg,1902,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
58,Impressionism/joaquin-sorolla_after-the-bath-1908.jpg,1908,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
59,Impressionism/john-singer-sargent_corfu-lights-and-shadows-1909.jpg,1909,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1982."
60,Impressionism/joaquin-sorolla_self-portrait-1909.jpg,1909,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
61,Impressionism/emmanuel-zairis_girl-in-the-vegetable-garden-1920.jpg,1920,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
62,Impressionism/william-james-glackens_girl-roller-skating-washington-square-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 1920s."
63,Impressionism/claude-monet_the-japanese-bridge-1924-2.jpg,1924,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
64,Impressionism/cornelis-vreedenburgh_winterfun-on-de-loswal-hattem-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
65,Impressionism/john-henry-twachtman_barnyard-1900.jpg,1900,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
66,Impressionism/camille-pissarro_the-louvre-and-the-seine-from-the-pont-neuf-1902.jpg,1902,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1874."
67,Impressionism/john-singer-sargent_la-biancheria-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1985."
68,Impressionism/ipolit-strambu_peasant-woman-1909.jpg,1909,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
69,Impressionism/childe-hassam_the-snowy-winter-of-1918-new-york.jpg,1918,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
70,Impressionism/vasily-surikov_alupka-ai-petri-1915.jpg,1915,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
71,Impressionism/john-singer-sargent_the-fence-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1985."
72,Impressionism/edmund-charles-tarbell_profile-1900.jpg,1900,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
73,Impressionism/theophrastos-triantafyllidis_bathers-on-the-boat-1930.jpg,1930,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
74,Impressionism/john-singer-sargent_rainy-day-on-the-deck-of-the-yacht-constellation-1924.jpg,1924,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
75,Impressionism/nicolae-darascu_still-life-with-lobsters-1925.jpg,1925,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1912."
76,Impressionism/camille-pissarro_the-seine-at-paris-pont-royal-1903.jpg,1903,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
77,Impressionism/samuel-mutzner_t-rg-n-grande-jatte-1922.jpg,1922,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1913."
78,Impressionism/guy-rose_portrait-of-an-algerian-1900.jpg,1900,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
79,Impressionism/henry-herbert-la-thangue_packing-stocks-1920.jpg,1920,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
80,Impressionism/konstantin-korovin_donate-to-victims-of-war-dmitry-donskoy-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1911."
81,Impressionism/robert-julian-onderdonk_a-winter-morning-on-the-guadalupe-river-1911.jpg,1911,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
82,Impressionism/pierre-auguste-renoir_head-of-a-woman-1913.jpg,1913,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
83,Impressionism/pierre-auguste-renoir_landscape-1919.jpg,1919,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
84,Impressionism/raoul-dufy_self-portrait-1901.jpg,1901,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
85,Impressionism/winston-churchill_view-of-jerusalem-1921.jpg,1921,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1886."
86,Impressionism/laszlo-mednyanszky_house-at-dusk-1910.jpg,1910,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
87,Impressionism/francisc-sirato_tatar-women-in-mangalia-1930.jpg,1930,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
88,Impressionism/joaquin-sorolla_oxen-at-the-beach-1916.jpg,1916,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
89,Impressionism/max-slevogt_tiger-in-the-jungle-1917.jpg,1917,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
90,Impressionism/valentin-serov_portrait-of-a-kasyanov-1907.jpg,1907,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1919."
91,Impressionism/joaquin-sorolla_maria-dressed-as-a-valencian-peasant-girl-1906.jpg,1906,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
92,Impressionism/santiago-rusinol_blue-courtyard-arenys-de-munt-1913.jpg,1913,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
93,Impressionism/pierre-auguste-renoir_strawberries-1914.jpg,1914,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1886."
94,Impressionism/joaquin-sorolla_net-menders-in-valencia-1909.jpg,1909,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
95,Impressionism/claude-monet_the-japanese-bridge-3-1924.jpg,1924,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
96,Impressionism/franz-marc_small-horse-study-1905.jpg,1905,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
97,Impressionism/francisc-sirato_still-life-with-vases-and-roses-1920.jpg,1920,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1985."
98,Impressionism/pierre-auguste-renoir_nude-on-the-grass-1915.jpg,1915,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
99,Impressionism/ivan-grohar_jesensko-sonce-1908.jpg,1908,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
100,Impressionism/lucia-demetriade-balacescu_la-gare-de-berk-plage-1933.jpg,1933,"USER:  
When was this painting made?
ASSISTANT: The painting was made in 1938."
101,Impressionism/konstantin-korovin_woman-portrait-1922.jpg,1922,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
102,Impressionism/robert-julian-onderdonk_road-to-the-hills-1918.jpg,1918,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
103,Impressionism/john-singer-sargent_the-artist-sketching-1922.jpg,1922,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
104,Impressionism/gregoire-boonzaier_landscape-with-grey-clouds-1935.jpg,1935,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
105,Impressionism/camille-pissarro_the-pont-du-carrousel-afternoon-1903.jpg,1903,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
106,Impressionism/asgrimur-jonsson_from-borgarfj-r-ur-eir-ksj-kull-glacier-west-iceland-1947.jpg,1947,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
107,Impressionism/camille-pissarro_the-pont-neuf-afternoon-1901.jpg,1901,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
108,Impressionism/john-singer-sargent_gondoliers-s-siesta-1905.jpg,1905,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
109,Impressionism/pierre-auguste-renoir_two-bathers-in-a-landscape-1919.jpg,1919,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
110,Impressionism/joaquin-sorolla_rocks-and-white-boat-javea-1905.jpg,1905,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
111,Impressionism/claude-monet_water-lilies-and-weeping-willow-branches-1919.jpg,1919,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
112,Impressionism/gregoire-boonzaier_huis-met-veranda-ou-kaapstad-1967.jpg,1967,"USER:  
When was this painting made?
ASSISTANT: The painting was made in the 19th century."
